cliente_id,abandono_semestre,margen_semestre_mclp
CL0268,1,2.0735
CL0269,0,5.9477
CL0270,0,68.3477
CL0271,0,0.8591
CL0272,0,61.7442
CL0273,0,21.5229
CL0274,0,1.9442
CL0275,0,54.9049
CL0276,0,2.0745
CL0277,0,9.3459
CL0278,0,1.5638
CL0279,1,0.0000
CL0280,1,54.3501
CL0281,1,36.2757
CL0282,1,0.0000
CL0283,0,16.0742
CL0284,0,52.3697
CL0285,0,13.9717
CL0286,0,0.0000
CL0287,0,3.5910
CL0288,0,9.8345
CL0289,1,0.4548
CL0290,0,25.2107
CL0291,0,34.8211
CL0292,0,17.7141
CL0293,0,132.1381
CL0294,1,0.4136
CL0295,0,49.1851
CL0296,0,11.5196
CL0297,0,127.6566
CL0298,0,4.8091
CL0299,0,55.7370
CL0300,0,41.8938
CL0301,0,1.1928
CL0302,0,68.4983
CL0303,1,0.0000
CL0304,1,11.0230
CL0305,0,1.2221
CL0306,0,6.1836
CL0307,0,6.7961
CL0308,0,93.1064
CL0309,0,12.0619
CL0310,0,2.9775
CL0311,0,2.3443
CL0312,1,105.8296
CL0313,0,33.1077
CL0314,0,0.0937
CL0315,0,29.0435
CL0316,0,76.0732
CL0317,1,1.3655
CL0318,0,135.6125
CL0319,0,25.8651
CL0320,0,14.8640
CL0321,0,47.7425
CL0322,0,23.0263
CL0323,0,0.7284
CL0324,0,2.6882
CL0325,0,76.2574
CL0326,0,11.6039
CL0327,0,11.1814
CL0328,0,21.0911
CL0329,0,3.6024
CL0330,0,65.9137
CL0331,0,10.2382
CL0332,0,8.6299
CL0333,0,26.0297
CL0334,0,0.0000
CL0335,0,39.7982
CL0336,0,83.4535
CL0337,0,19.3277
CL0338,0,35.1346
CL0339,0,0.0000
CL0340,0,3.9060
CL0341,0,15.5425
CL0342,0,3.5192
CL0343,0,129.3447
CL0344,1,1.8446
CL0345,0,0.0000
CL0346,0,6.4780
CL0347,0,7.6070
CL0348,1,0.0000
CL0349,0,55.3153
CL0350,0,5.7795
CL0351,0,1.9860
CL0352,0,105.9841
CL0353,0,17.7031
CL0354,0,0.3357
CL0355,0,135.2351
CL0356,0,6.6086
CL0357,0,9.3583
CL0358,0,45.0815
CL0359,0,10.1470
CL0360,0,84.9942
CL0361,0,8.7917
CL0362,1,16.1872
CL0363,0,20.9540
CL0364,0,0.1014
CL0365,0,62.1950
CL0366,0,8.5901
CL0367,0,0.0000
CL0368,0,13.1382
CL0369,0,2.8432
CL0370,0,3.2278
CL0371,0,19.5821
CL0372,0,28.0934
CL0373,0,16.1213
CL0374,0,0.0000
CL0375,0,7.5992
CL0376,1,36.1212
CL0377,0,1.8834
CL0378,0,40.5868
CL0379,0,13.0259
CL0380,0,173.1273
CL0381,1,53.7455
CL0382,0,14.4030
CL0383,0,22.1351
CL0384,0,18.9332
CL0385,0,2.0258
CL0386,0,18.4556
CL0387,0,25.1891
CL0388,0,0.0000
CL0389,0,187.7453
CL0390,1,123.9406
CL0391,0,15.1679
CL0392,0,12.0245
CL0393,0,41.3126
CL0394,0,36.9757
CL0395,0,61.7473
CL0396,0,23.4517
CL0397,0,14.1238
CL0398,0,113.5338
CL0399,0,69.8951
CL0400,0,0.6004
CL0401,0,1.7282
CL0402,0,118.9888
CL0403,0,0.0000
CL0404,0,57.5382
CL0405,0,10.0581
CL0406,0,10.1068
CL0407,0,1.0901
CL0408,0,5.6749
CL0409,0,85.9019
CL0410,1,0.0000
CL0411,0,96.9055
CL0412,0,0.9238
CL0413,1,7.4707
CL0414,0,197.0157
CL0415,0,27.6923
CL0416,0,16.2368
CL0417,0,24.7671
CL0418,0,8.0611
CL0419,0,100.1891
CL0420,1,2.0670
CL0421,1,115.5626
CL0422,0,82.6057
CL0423,0,21.3190
CL0424,1,8.6954
CL0425,0,0.0000
CL0426,0,49.4512
CL0427,0,48.4166
CL0428,0,31.8071
CL0429,0,1.0311
CL0430,0,14.9885
CL0431,0,241.1758
CL0432,0,17.2413
CL0433,0,30.1134
CL0434,0,4.2003
CL0435,0,12.9381
CL0436,0,53.8833
CL0437,0,0.1058
CL0438,0,9.7940
CL0439,0,0.0000
CL0440,1,9.6469
CL0441,0,116.5533
CL0442,0,114.2123
CL0443,0,63.9936
CL0444,0,111.8042
CL0445,1,2.7147
CL0446,1,0.0000
CL0447,0,0.4332
CL0448,0,15.2572
CL0449,0,7.6990
CL0450,0,54.2372
CL0451,1,0.7072
CL0452,0,0.0000
CL0453,1,3.0778
CL0454,0,0.0609
CL0455,0,140.5044
CL0456,0,13.9283
CL0457,0,50.9744
CL0458,0,8.6215
CL0459,0,3.6044
CL0460,0,0.0000
CL0461,1,32.6086
CL0462,0,0.0000
CL0463,0,1.5061
CL0464,0,0.0000
CL0465,0,65.2107
CL0466,0,0.0000
CL0467,0,49.7640
CL0468,0,0.0000
CL0469,0,139.7659
CL0470,0,5.5243
CL0471,0,55.1356
CL0472,0,4.0005
CL0473,0,10.4109
CL0474,1,0.6470
CL0475,0,14.1715
CL0476,0,44.2899
CL0477,0,0.3527
CL0478,0,37.5594
CL0479,0,50.3761
CL0480,0,150.4890
CL0481,1,49.5963
CL0482,0,127.2280
CL0483,0,8.2124
CL0484,0,23.6816
CL0485,0,33.5546
CL0486,0,100.1836
CL0487,0,2.8969
CL0488,0,76.3168
CL0489,0,18.6595
CL0490,0,2.0121
CL0491,0,13.4080
CL0492,0,13.0475
CL0493,0,6.1550
CL0494,0,0.7030
CL0495,0,28.3510
CL0496,0,44.8775
CL0497,0,60.7304
CL0498,1,6.4724
CL0499,0,6.9953
CL0500,0,0.0000
CL0501,1,8.5219
CL0502,0,125.4989
CL0503,1,3.6765
CL0504,0,14.1862
CL0505,0,31.4556
CL0506,0,24.4040
CL0507,1,1.9539
CL0508,0,9.1323
CL0509,0,4.3188
CL0510,1,201.4944
CL0511,0,1.0646
CL0512,0,0.9904
CL0513,0,24.2442
CL0514,0,6.4236
CL0515,0,1.5281
CL0516,0,12.4603
CL0517,0,0.0000
CL0518,0,2.0524
CL0519,1,3.0691
CL0520,0,22.6662
CL0521,0,173.9620
CL0522,0,55.0301
CL0523,0,120.1137
CL0524,0,17.8934
CL0525,0,2.8962
CL0526,0,47.9430
CL0527,1,1.9736
CL0528,0,61.9832
CL0529,1,18.1839
CL0530,0,75.5164
CL0531,0,4.7853
CL0532,1,0.0000
CL0533,0,17.0075
CL0534,0,27.8764
CL0535,0,90.8910
CL0536,0,27.2669
CL0537,0,13.8810
CL0538,0,9.6653
CL0539,0,56.6854
CL0540,0,11.6924
CL0541,0,52.7804
CL0542,0,2.7527
CL0543,1,27.1594
CL0544,0,1.0710
CL0545,0,120.1983
CL0546,0,27.4261
CL0547,0,29.4455
CL0548,0,0.0000
CL0549,1,2.2575
CL0550,0,0.0000
CL0551,0,8.9111
CL0552,0,2.0557
CL0553,0,8.5293
CL0554,0,6.7920
CL0555,0,5.2405
CL0556,0,1.6008
CL0557,0,0.0000
CL0558,0,19.7138
CL0559,0,16.7245
CL0560,0,3.3175
CL0561,0,0.4985
CL0562,0,3.7789
CL0563,1,1.3202
CL0564,1,0.0000
CL0565,0,54.5787
CL0566,0,77.9948
CL0567,0,31.5591
CL0568,1,0.0328
CL0569,0,15.9607
CL0570,0,3.4438
CL0571,0,14.3508
CL0572,0,146.9265
CL0573,0,15.7991
CL0574,1,24.7556
CL0575,0,51.5358
CL0576,1,2.1624
CL0577,0,22.9044
CL0578,0,3.3473
CL0579,1,0.0000
CL0580,0,0.0000
CL0581,0,13.4116
CL0582,0,20.4533
CL0583,0,2.3808
CL0584,1,56.3520
CL0585,1,8.3316
CL0586,0,15.2116
CL0587,0,4.1589
CL0588,0,51.2591
CL0589,1,0.0000
CL0590,0,10.8420
CL0591,0,120.3242
CL0592,0,9.4818
CL0593,1,24.0054
CL0594,0,0.6761
CL0595,1,0.0000
CL0596,0,0.6672
CL0597,0,26.7031
CL0598,0,125.0108
CL0599,0,23.2559
CL0600,0,86.8629
CL0601,0,2.4668
CL0602,0,21.7392
CL0603,0,64.6899
CL0604,0,48.7501
CL0605,0,8.0817
CL0606,0,0.2357
CL0607,0,112.6599
CL0608,0,35.3562
CL0609,0,35.4361
CL0610,0,12.3693
CL0611,0,2.5477
CL0612,0,13.0915
CL0613,0,13.6839
CL0614,0,235.7184
CL0615,0,1.9934
CL0616,0,4.2273
CL0617,0,33.5971
CL0618,0,4.8271
CL0619,0,27.5860
CL0620,1,3.9657
CL0621,0,0.0000
CL0622,0,44.5683
CL0623,0,107.0761
CL0624,0,29.0196
CL0625,0,8.4029
CL0626,1,13.2695
CL0627,0,9.2634
CL0628,0,1.3870
CL0629,0,14.5598
CL0630,0,0.0000
CL0631,0,11.3674
CL0632,1,5.8306
CL0633,0,8.7989
CL0634,0,4.4404
CL0635,0,0.0000
CL0636,1,10.4581
CL0637,1,77.3500
CL0638,0,31.1475
CL0639,1,12.1560
CL0640,0,18.2644
CL0641,1,0.0000
CL0642,0,18.3761
CL0643,0,63.1667
CL0644,1,1.5319
CL0645,1,1.6671
CL0646,0,0.0000
CL0647,0,4.2523
CL0648,0,13.5902
CL0649,0,56.3381
CL0650,0,93.0182
CL0651,0,35.9179
CL0652,0,176.5301
CL0653,0,82.3702
CL0654,0,0.0000
CL0655,0,6.6728
CL0656,1,74.8703
CL0657,0,26.9795
CL0658,1,175.6801
CL0659,0,1.9461
CL0660,0,11.6965
CL0661,0,26.7931
CL0662,0,12.5340
CL0663,1,0.2841
CL0664,0,0.0810
CL0665,1,0.0416
CL0666,0,1.0995
CL0667,0,23.7521
CL0668,0,2.6989
CL0669,0,49.8042
CL0670,0,17.0660
CL0671,0,40.8554
CL0672,0,49.0082
CL0673,1,0.0000
CL0674,0,48.2307
CL0675,0,1.6014
CL0676,0,13.5566
CL0677,0,0.6720
CL0678,0,7.6877
CL0679,0,1.1895
CL0680,0,3.2470
CL0681,0,0.9736
CL0682,0,67.9619
CL0683,0,16.3559
CL0684,0,30.0525
CL0685,0,75.6172
CL0686,0,122.3624
CL0687,0,24.4436
CL0688,1,45.9855
CL0689,0,14.5739
CL0690,0,4.2967
CL0691,0,4.4722
CL0692,1,99.9698
CL0693,0,2.4705
CL0694,0,10.0322
CL0695,0,15.7120
CL0696,0,125.8811
CL0697,0,0.0000
CL0698,0,24.3103
CL0699,0,0.0000
CL0700,0,18.3947
CL0701,0,35.3908
CL0702,1,1.9847
CL0703,0,11.7555
CL0704,0,0.0000
CL0705,1,5.4329
CL0706,0,55.4421
CL0707,1,64.4809
CL0708,0,2.0088
CL0709,0,0.4825
CL0710,0,35.2823
CL0711,0,133.1785
CL0712,0,2.0019
CL0713,0,14.3442
CL0714,0,14.3371
CL0715,0,96.0297
CL0716,0,0.0000
CL0717,0,46.7081
CL0718,1,2.2451
CL0719,0,5.7172
CL0720,0,0.3066
