ventana_id,terminal,camiones_cola,muelles_activos,peso_t,revision_documental,operarios,prioridad,cola_proxy,codigo_aleatorio,espera_min,costo_espera_real_clp
V0056,Norte,9,5,10.2921,0,14,0,9.0595,1336,15.1769,27317.7437
V0057,Norte,6,6,7.0974,0,12,0,5.9582,1053,3.7339,6634.5994
V0058,Sur,6,3,21.4222,1,14,0,5.6873,1296,22.1832,39843.6126
V0059,Centro,4,3,23.9085,0,12,0,3.7460,1229,11.7499,21322.7140
V0060,Centro,3,2,21.0660,0,8,1,2.8549,1303,9.4684,17048.1283
V0061,Norte,4,6,11.9187,0,13,0,3.9760,1550,9.1196,16425.3348
V0062,Norte,6,6,22.9782,0,8,0,5.7005,1202,6.3387,11216.2451
V0063,Sur,6,6,14.7450,0,13,0,5.9814,2028,5.1570,9216.3005
V0064,Norte,5,4,12.8654,0,4,0,5.3012,1124,10.4412,18720.5004
V0065,Centro,8,3,22.1500,0,13,1,7.8964,1790,22.0903,39617.5142
V0066,Sur,4,3,7.8529,0,13,0,4.0912,1510,10.9945,19722.7499
V0067,Norte,8,4,9.0842,0,14,0,8.4315,2162,12.8251,23165.7162
V0068,Norte,7,4,23.8540,1,5,0,7.2271,1688,23.9064,43028.1720
V0069,Sur,4,6,14.9284,1,8,0,3.8241,1130,13.1499,23503.2065
V0070,Sur,4,5,15.4102,1,13,0,4.4682,1010,10.3800,18868.0623
V0071,Sur,2,2,12.5420,0,9,0,2.3131,1335,6.9232,12443.9767
V0072,Norte,5,3,19.5861,0,5,0,4.8929,1439,14.6437,26440.6579
V0073,Norte,4,6,19.0316,0,4,0,3.6528,1182,7.6055,13592.8044
V0074,Centro,2,4,18.1536,0,4,0,1.4643,1518,8.6296,15580.8075
V0075,Centro,5,6,22.7639,0,4,1,5.3421,1976,10.4617,18740.5073
V0076,Norte,6,5,12.0726,0,7,0,6.1226,1033,7.8267,14067.8011
V0077,Sur,4,2,4.4838,0,11,0,4.3021,1738,9.5565,17316.3264
V0078,Centro,3,3,2.2230,1,13,1,3.4303,1515,13.1280,23730.7341
V0079,Centro,10,3,22.3597,0,11,0,10.1518,1767,26.9946,48503.2627
V0080,Sur,5,3,4.9579,0,12,0,5.0852,1927,12.7306,22933.1823
V0081,Centro,8,4,3.2800,1,12,0,8.1552,1257,18.6616,33636.9221
V0082,Centro,3,6,23.3509,0,12,0,3.0594,2142,8.1721,14869.8792
V0083,Norte,6,5,10.9596,0,7,0,5.9624,1826,7.8697,14315.4993
V0084,Norte,2,4,16.8635,0,12,0,1.7629,2096,8.6310,15577.0734
V0085,Sur,6,5,21.8551,0,4,0,6.0621,1471,9.9177,17949.3348
V0086,Norte,10,5,8.9805,0,5,0,9.8621,1645,18.4427,33106.4636
V0087,Sur,4,5,6.0065,1,6,1,4.6038,1199,8.7263,15607.9861
V0088,Sur,8,3,3.4479,1,13,0,7.7629,1441,23.5962,42449.7512
V0089,Sur,6,2,14.3685,0,13,0,5.8698,1565,20.9619,37777.2507
V0090,Norte,5,4,12.4319,0,10,0,5.1394,1321,4.6417,8407.6969
V0091,Centro,8,5,23.9184,0,5,0,7.8392,2022,14.6896,26399.3490
V0092,Norte,7,6,2.8401,0,6,0,6.5404,1694,5.4879,9939.6515
V0093,Norte,4,6,3.0252,0,4,0,3.5844,1212,3.0574,5500.4009
V0094,Centro,7,4,17.3263,0,14,1,7.2562,1993,18.8115,33950.5838
V0095,Norte,6,2,18.1793,0,8,0,6.4314,1489,17.8362,32166.4236
V0096,Sur,6,3,4.6034,0,14,0,5.7991,1917,13.3875,24118.4408
V0097,Sur,8,3,7.7053,0,9,0,7.7759,1324,22.0842,39763.3091
V0098,Centro,7,3,3.2855,0,10,0,7.5071,1183,12.5361,22599.2412
V0099,Centro,8,2,23.2059,0,7,1,8.3312,1357,28.9329,52018.7507
V0100,Norte,10,6,7.8125,0,4,0,9.6910,1295,20.5393,36942.5573
V0101,Sur,1,5,13.0296,1,8,0,1.1304,2039,8.3589,15067.7283
V0102,Centro,8,5,11.1263,0,11,0,8.2859,1564,14.9395,26967.5139
V0103,Centro,5,3,14.1016,0,8,0,5.0056,1216,15.3023,27517.8550
V0104,Centro,6,2,10.2347,0,6,0,6.1541,1816,17.5433,31583.1690
V0105,Norte,5,3,2.8970,0,8,0,4.6359,2112,10.2108,18367.1303
V0106,Centro,5,5,8.1114,0,5,0,4.5425,1666,7.7346,13980.7963
V0107,Centro,1,3,16.8367,1,8,0,0.8493,1192,11.0319,19787.3799
V0108,Centro,5,4,21.8111,1,4,1,5.1815,1775,14.9727,27001.3854
V0109,Sur,3,6,12.8945,0,14,0,2.6944,1474,7.7071,13775.1180
V0110,Sur,6,3,6.1897,1,13,0,5.7829,2189,16.2827,29096.6862
V0111,Sur,9,6,23.0446,0,7,0,9.4554,1662,22.7963,41074.2585
V0112,Norte,9,5,23.5259,1,9,0,8.9998,2134,24.8340,44607.4121
V0113,Sur,6,3,10.7736,1,14,0,5.7309,1328,22.5408,40409.1393
V0114,Centro,3,4,16.1851,1,4,0,3.1996,1522,11.3751,20531.4818
V0115,Sur,7,6,11.5178,0,13,0,6.8630,1499,10.4799,18881.4882
V0116,Norte,4,2,13.2295,0,14,0,3.6516,1225,10.5293,18920.1673
V0117,Sur,6,3,13.0074,1,4,0,6.0677,1500,20.5765,37221.1483
V0118,Norte,5,4,6.3875,1,10,0,5.0986,1410,13.1188,23664.3526
V0119,Sur,7,3,5.5653,0,13,0,6.8356,1395,12.5882,22703.9667
V0120,Centro,7,5,18.2070,0,7,0,6.3872,1413,11.8079,21255.2096
V0121,Centro,4,4,19.6847,0,10,0,4.7170,1375,9.4294,16981.9007
V0122,Centro,8,5,8.1206,1,6,0,7.9573,1153,20.6621,37095.8695
V0123,Centro,9,3,23.9851,0,14,1,9.1299,2123,24.4700,44173.7272
V0124,Sur,6,6,15.7506,0,11,0,5.6910,1980,7.9657,14365.6696
V0125,Norte,6,2,7.9772,1,13,0,5.9576,1204,22.7733,40806.7176
V0126,Sur,8,6,6.2504,0,12,1,8.1195,2174,10.2233,18425.4328
V0127,Sur,6,6,4.6393,1,5,1,5.7514,1456,12.8554,23023.4905
V0128,Sur,2,4,6.1868,0,12,0,2.1936,1154,3.3760,5921.7745
V0129,Norte,6,4,7.1735,1,13,0,6.0469,1799,17.5609,31582.2699
V0130,Sur,5,3,12.6286,1,5,1,4.9699,1169,16.7610,30240.3277
V0131,Sur,4,3,21.8698,0,8,0,4.1845,1612,9.0073,16227.9379
V0132,Sur,6,2,23.4059,0,14,0,6.0000,1735,18.8278,33962.7910
V0133,Centro,7,4,19.2243,0,5,1,7.1512,1407,18.6623,33524.2603
V0134,Sur,6,4,13.7264,1,8,0,5.5761,2094,21.4470,38531.1451
V0135,Sur,3,3,11.5988,0,10,0,3.1169,1094,8.0467,14311.6901
V0136,Sur,8,4,15.1917,1,12,0,8.0528,1855,21.4173,38625.6100
V0137,Sur,8,6,10.0545,0,13,0,8.3576,1636,9.6855,17268.6911
V0138,Sur,5,4,11.1409,0,11,0,5.4311,1698,9.4653,17051.1699
V0139,Sur,7,2,8.0295,0,5,0,7.0331,1198,26.3656,47472.1096
V0140,Sur,5,5,18.2467,0,14,0,4.5891,2044,9.6051,17095.7250
V0141,Norte,1,4,22.6934,0,8,0,1.0217,1839,4.9484,8826.5256
V0142,Sur,6,5,13.1345,0,11,1,5.8665,1805,7.4222,13387.9572
V0143,Centro,7,2,8.0275,0,6,0,7.2615,1467,23.7480,42838.2695
V0144,Norte,8,5,23.8212,0,13,0,7.3899,1960,19.0090,34158.6831
V0145,Norte,4,6,9.9872,1,10,0,3.9689,1596,10.2317,18414.6652
V0146,Sur,6,3,13.6310,0,4,1,5.5173,1743,15.3704,27563.5233
V0147,Sur,5,5,4.8871,0,9,1,5.3471,2132,1.5973,2704.5563
V0148,Norte,7,4,18.7906,1,6,0,7.1392,1784,22.4635,40461.2971
V0149,Norte,6,4,15.0038,0,14,0,5.2109,1798,14.3809,25668.2613
V0150,Sur,4,6,16.8932,1,10,0,3.7177,1652,10.1758,18391.2574
V0151,Centro,6,4,16.5946,0,7,1,5.9782,2137,9.4874,17142.8336
V0152,Centro,11,5,3.1158,0,8,0,11.2656,2177,16.8327,30200.7970
V0153,Sur,10,6,16.4043,0,10,0,9.8938,1808,13.4799,24384.0987
V0154,Sur,2,5,15.8135,0,10,0,2.1576,1714,7.3467,13032.4703
V0155,Centro,6,6,7.9990,0,5,0,5.9596,1020,6.3227,11366.6890
V0156,Sur,12,5,9.6400,0,9,1,12.0789,1226,24.0743,43233.8839
V0157,Centro,3,5,11.7499,0,13,0,2.5782,1074,5.2494,9610.2746
V0158,Centro,10,5,2.5972,0,14,0,10.2837,1986,19.1125,34572.2174
V0159,Norte,6,2,18.0477,0,10,0,6.3617,1705,15.6946,28099.4971
V0160,Norte,4,5,11.0358,0,10,0,4.1725,1108,4.5942,8264.1657
V0161,Norte,4,2,23.4729,0,9,0,4.1509,1507,14.7663,26485.7251
V0162,Norte,9,4,13.3963,0,5,0,8.9536,1667,20.1668,36315.5611
V0163,Norte,4,4,22.0160,0,10,1,3.7845,1804,9.8546,17597.6239
V0164,Sur,6,2,7.1329,0,6,0,6.0457,1823,18.6958,33712.1566
V0165,Centro,2,3,23.1532,1,6,0,2.3435,1998,13.0422,23400.0791
V0166,Norte,9,2,8.3602,0,9,0,9.2417,1952,25.3710,45559.2799
V0167,Norte,6,3,4.7615,0,6,1,5.9850,1504,12.5536,22419.9668
V0168,Centro,7,4,3.8919,0,10,0,7.0304,1701,10.1768,18276.0635
V0169,Centro,5,2,17.4833,1,14,0,5.0295,1766,24.5749,44193.1889
V0170,Sur,4,2,22.3469,1,9,0,3.8402,1583,19.5655,35323.7743
V0171,Sur,6,5,15.7119,0,7,1,6.3873,2180,7.4633,13398.8893
V0172,Centro,5,6,19.6322,0,8,0,5.1063,1218,8.9263,16156.3624
V0173,Norte,2,6,6.4560,0,12,1,1.8786,2075,4.2657,7764.9500
V0174,Centro,6,3,7.2455,0,7,0,6.5249,1519,14.8144,26610.2971
V0175,Sur,8,6,10.7664,0,10,0,7.5467,1114,10.6437,19270.9207
V0176,Centro,7,3,10.9055,0,13,0,7.1734,1580,17.9144,32124.2294
V0177,Sur,4,2,12.3618,0,7,0,4.3223,1695,11.6592,20749.7783
V0178,Sur,4,4,18.0579,0,10,0,3.7448,1644,6.9468,12514.9554
V0179,Norte,5,3,2.7448,1,10,1,4.9493,1818,14.7757,26564.6321
V0180,Norte,9,4,15.0762,1,5,0,8.8907,1220,27.7620,49971.3871
V0181,Centro,5,5,4.2012,0,13,0,5.0158,1597,8.0704,14651.2914
V0182,Norte,6,4,10.0489,0,12,0,6.1293,1894,12.2726,22195.9745
V0183,Norte,5,4,5.4956,0,7,0,4.9765,1848,6.3223,11275.7878
V0184,Sur,5,4,23.2357,0,8,0,5.1222,1088,9.6692,17538.4911
V0185,Sur,6,3,12.3576,1,4,1,5.8106,1348,22.5871,40675.7321
V0186,Norte,2,2,22.0935,1,13,0,2.2296,1801,16.4182,29542.9630
V0187,Centro,6,5,8.3157,0,12,0,5.7868,2030,8.8616,16013.2893
V0188,Centro,4,5,13.2283,0,8,0,4.2797,2156,9.4509,17083.2729
V0189,Centro,10,2,4.9828,0,7,0,9.8886,1696,32.7153,58940.9754
V0190,Norte,6,5,16.5677,0,10,0,6.0961,1418,6.3922,11569.7610
V0191,Centro,7,4,10.8745,0,11,0,6.8671,1918,17.3374,31278.1469
V0192,Sur,2,6,3.7042,0,4,0,2.0388,2111,7.4272,13241.3450
V0193,Norte,3,2,15.5446,0,7,0,3.3873,1359,8.9778,16020.8234
V0194,Centro,9,3,4.4209,0,9,0,8.8091,1953,15.6852,28336.1951
V0195,Sur,11,6,20.8632,1,13,0,10.6911,1403,23.3674,42046.0454
V0196,Norte,9,4,4.0908,0,5,0,8.8362,1549,19.7531,35614.2485
V0197,Sur,8,4,7.3671,0,8,0,8.1354,1320,13.9692,25155.4159
V0198,Centro,5,2,18.2116,1,5,0,4.8126,2088,18.5577,33406.7063
V0199,Norte,5,2,21.5060,0,14,1,5.1014,1586,18.8759,33941.4769
V0200,Norte,4,6,13.3168,0,4,0,4.0592,1833,9.6110,17153.3066
V0201,Norte,8,3,6.5706,0,12,0,7.7118,2141,17.2161,30966.7761
V0202,Sur,5,6,20.1027,0,11,1,5.4343,1084,4.8434,8655.7782
V0203,Sur,5,5,12.8963,1,12,0,4.6316,2092,9.3910,17008.8591
V0204,Norte,1,5,10.2651,0,13,1,1.2917,1639,7.8943,14396.3481
V0205,Centro,5,2,8.7944,0,10,0,5.1182,1566,12.0204,21547.6159
V0206,Norte,5,6,14.1604,0,11,0,5.1402,1205,7.4035,13363.3038
V0207,Sur,6,3,20.8582,0,13,0,6.3198,1528,14.9191,26963.6159
V0208,Sur,5,4,14.0174,0,12,0,4.5641,1305,6.0462,10958.9345
V0209,Centro,9,6,20.8141,1,7,0,8.9451,1763,18.7552,33685.9966
V0210,Norte,4,5,5.5785,0,5,0,4.6606,1080,6.4121,11485.9471
V0211,Sur,5,4,23.6957,0,6,1,5.0749,2085,10.9817,19907.7099
V0212,Centro,6,4,14.3461,0,7,0,6.1894,2054,9.3978,16998.9619
V0213,Sur,6,5,14.8722,0,4,0,6.2063,1936,12.3664,22213.7290
V0214,Sur,5,6,19.8293,0,7,0,4.6206,1776,4.1030,7256.7263
V0215,Norte,9,6,22.2471,0,13,0,8.7448,1160,15.7314,28306.7049
V0216,Centro,9,5,8.9671,1,13,0,9.3980,1745,23.9982,43252.8203
V0217,Norte,3,2,15.5673,0,14,0,3.0362,1005,7.8409,14051.1009
V0218,Centro,4,5,13.5452,0,4,1,3.5780,1040,10.3446,18825.2167
V0219,Norte,7,2,6.1627,1,14,0,7.1837,1939,30.9222,55720.4693
V0220,Sur,6,6,23.9366,0,6,0,6.0919,1959,8.6645,15594.9710
V0221,Sur,8,5,16.0902,0,8,0,8.1522,2061,16.7949,30032.9323
V0222,Norte,7,5,15.3266,0,9,0,7.2497,1908,12.4442,22431.3953
V0223,Norte,2,6,5.7855,0,11,1,1.8979,1277,5.3961,9568.7212
V0224,Norte,9,5,15.6580,1,11,0,8.6345,1494,24.4126,43783.2127
V0225,Norte,7,5,4.4972,0,12,0,7.2159,1704,5.9729,10899.4228
V0226,Sur,4,3,18.8599,1,9,0,4.1510,1208,15.1871,27260.9463
V0227,Centro,7,3,10.1551,0,13,0,7.4732,1541,18.2441,32912.9827
V0228,Centro,6,2,13.8355,1,7,0,6.4028,1742,20.7484,37360.5852
V0229,Sur,4,2,15.0884,0,10,0,3.9243,1373,9.5643,17176.5276
V0230,Sur,5,2,10.1345,0,4,0,5.3507,1447,13.4014,24166.6194
V0231,Sur,3,2,15.5663,0,5,0,3.0982,2152,8.7394,15633.6641
V0232,Centro,4,5,8.3823,0,6,0,3.7218,1113,3.0651,5503.2421
V0233,Sur,4,3,22.1095,0,5,0,3.7044,1451,9.6910,17497.8245
V0234,Sur,10,5,10.6272,0,6,0,10.3369,1863,19.8898,35875.2655
V0235,Sur,0,3,12.4996,0,5,0,0.0375,1861,6.9290,12616.9183
V0236,Centro,7,3,14.2789,0,10,0,6.6938,1624,17.9799,32302.2476
V0237,Centro,5,6,17.8837,0,5,0,5.4864,2108,7.8721,14200.7697
V0238,Norte,6,6,20.3092,1,13,1,6.3220,1419,10.3919,18756.9055
V0239,Centro,6,5,17.4749,1,5,0,5.7974,2048,14.7911,26587.6769
V0240,Centro,6,4,12.1133,0,6,0,6.2641,1814,10.9133,19453.0990
V0241,Centro,7,4,22.8005,0,9,1,7.3516,1595,12.6493,22742.5491
V0242,Centro,3,4,21.4873,1,5,0,2.9147,1615,14.7245,26471.0374
V0243,Norte,8,4,8.1220,0,12,0,7.6403,1950,13.5956,24505.3475
V0244,Centro,8,4,5.0545,0,13,0,8.2484,1134,12.6767,22559.4051
V0245,Norte,5,5,12.2085,0,9,0,5.1233,2157,6.3311,11404.8432
V0246,Sur,6,3,20.2103,0,10,1,6.1752,1015,12.8367,23167.5851
V0247,Centro,7,3,2.3065,0,4,0,7.0063,1013,13.4997,24401.6036
V0248,Sur,7,2,3.9655,0,10,0,7.1560,1365,22.2890,40036.9893
V0249,Norte,8,3,19.2500,0,11,0,8.0786,1747,20.2296,36274.2473
V0250,Norte,6,3,7.6721,0,10,0,5.7277,1142,12.1062,21770.4363
V0251,Centro,10,5,3.8119,1,12,0,10.4714,2001,18.4942,33192.8989
V0252,Centro,7,6,14.3943,0,8,0,7.1245,1937,9.5532,17163.2745
V0253,Sur,3,4,6.9246,0,12,0,2.8888,1340,4.9882,8957.3375
V0254,Norte,2,3,12.1887,0,4,0,1.9757,1137,7.9704,14474.6687
V0255,Sur,8,3,12.4768,0,10,0,7.9906,1637,16.9806,30552.9874
V0256,Centro,6,5,23.5612,0,8,0,6.2194,1482,11.4436,20613.1322
V0257,Centro,6,3,10.9602,0,13,0,6.2044,1468,15.5186,27930.2779
V0258,Norte,7,3,8.6185,1,13,1,7.2143,1512,23.7671,42768.1855
V0259,Norte,5,4,8.2125,1,4,0,4.7367,1168,14.3723,25801.6948
V0260,Sur,8,6,12.8627,0,13,0,7.9419,1143,12.0357,21578.7886
V0261,Centro,4,3,8.6435,0,13,0,4.3332,1448,8.4322,15156.3356
V0262,Centro,5,2,8.0663,0,4,0,5.6291,1273,14.1251,25283.8781
V0263,Sur,7,5,6.6103,0,9,0,7.0401,2172,11.1220,19873.0205
V0264,Centro,9,2,11.0988,0,6,0,8.7138,1377,32.8613,59045.0356
V0265,Norte,5,3,23.9426,0,5,1,4.9442,2164,13.5799,24543.4907
V0266,Centro,3,3,4.7128,0,8,1,3.2072,2007,6.0198,10918.7550
V0267,Norte,7,4,10.6986,0,13,1,6.7693,1089,14.3089,25817.6910
V0268,Centro,2,6,23.3068,0,11,0,2.0264,1475,4.6010,8390.7994
V0269,Norte,8,3,7.6667,1,9,0,8.1487,1835,21.8668,39200.8932
V0270,Centro,9,5,10.6853,1,13,0,9.2434,2077,22.9891,41538.7714
V0271,Centro,3,2,16.5456,0,6,0,2.8384,1386,11.2171,20268.7244
V0272,Norte,6,2,16.9932,0,14,0,6.2689,1650,22.3645,40217.8810
V0273,Sur,4,3,18.6863,1,10,0,4.1391,1591,10.0017,17874.6135
V0274,Centro,4,3,16.1562,1,4,0,3.8071,1150,14.0210,25181.7264
V0275,Centro,9,5,21.3158,0,7,0,9.5116,1470,21.9869,39510.5017
V0276,Centro,3,2,9.0422,0,11,0,3.2783,1485,8.1643,14751.4126
V0277,Sur,2,5,15.3211,0,7,0,2.0086,1621,7.1357,12963.9910
V0278,Norte,4,3,2.0382,0,10,0,3.5066,1578,6.6974,11894.8515
V0279,Sur,8,5,8.5661,1,14,0,7.8305,1480,21.8952,39428.3979
V0280,Norte,7,2,2.8887,0,5,0,7.2283,1457,23.9097,43034.8761
V0281,Sur,8,5,4.4662,0,11,0,8.1793,1464,14.6142,26286.3469
V0282,Centro,7,6,8.4107,0,8,0,6.9836,1264,8.1933,14742.9052
V0283,Norte,8,4,13.9843,0,11,0,8.1761,1546,14.5323,26178.3301
V0284,Centro,6,3,22.0052,0,9,0,6.2519,1287,15.6397,28168.9341
V0285,Sur,3,2,5.6304,0,10,0,3.4017,1290,7.2519,13132.6541
V0286,Norte,11,4,3.1824,1,9,0,11.4346,1271,27.9098,50232.3790
V0287,Norte,6,5,6.7813,1,9,0,5.6349,1800,13.2949,23855.7954
V0288,Sur,4,5,15.8213,1,10,0,3.6778,1988,10.4603,18913.8669
V0289,Sur,8,4,9.5200,0,14,0,7.9502,2047,17.3084,31215.8964
V0290,Centro,6,5,13.4661,0,11,0,6.0951,1138,11.0182,19777.2784
V0291,Sur,9,2,5.4284,0,11,0,8.3827,1223,30.5094,54689.6745
V0292,Sur,5,3,17.6790,1,6,0,4.4099,1556,19.8822,35863.1372
V0293,Centro,2,2,23.4684,0,13,0,2.5696,1810,10.2822,18468.8498
V0294,Norte,7,6,12.7726,0,5,0,7.3234,1186,9.3576,16878.8548
V0295,Sur,7,5,15.3435,0,11,0,7.1405,1310,9.7501,17729.5758
V0296,Norte,3,6,12.3651,0,6,0,2.9675,1433,5.8095,10315.8225
V0297,Norte,9,3,19.9065,0,12,0,9.2521,1039,25.6841,46177.4618
V0298,Centro,11,6,7.9886,0,8,0,10.8431,2129,20.0911,36303.7673
V0299,Sur,3,3,18.8722,0,14,1,3.3142,2083,11.9075,21403.2853
V0300,Norte,8,2,13.0618,0,9,1,7.9846,2117,33.7673,60778.7438
V0301,Centro,7,2,16.7710,0,12,0,6.6343,1161,24.0608,43425.3794
V0302,Centro,5,2,9.3870,0,8,0,5.2510,2138,14.7026,26621.3705
V0303,Centro,8,6,9.3613,0,5,0,8.0145,1585,14.1481,25587.9403
V0304,Centro,6,2,2.1835,0,9,0,5.7817,1139,16.8549,30225.9451
V0305,Norte,11,2,5.2828,0,4,0,11.5881,2182,38.6606,69489.8110
V0306,Sur,6,5,8.2442,0,12,0,5.6109,1496,7.3795,13304.6364
V0307,Sur,4,6,7.0102,0,13,0,3.8150,1577,4.1095,7535.6861
V0308,Norte,5,6,16.3546,0,7,0,5.3351,1432,7.3589,13080.0881
V0309,Norte,6,5,2.7541,0,6,1,6.1928,2184,2.4601,4473.8661
V0310,Centro,5,4,22.6927,0,10,0,4.6980,1710,7.8850,14403.1105
V0311,Sur,4,3,23.6316,1,4,0,4.1187,1077,15.8450,28503.6116
V0312,Centro,7,2,11.4238,1,13,0,6.8563,1656,35.8833,64583.7313
V0313,Centro,9,3,7.9615,1,14,1,9.0977,2033,26.4878,47698.4457
V0314,Norte,6,4,12.7750,1,9,0,5.8723,1051,20.1401,36309.7969
V0315,Centro,6,6,20.0554,1,14,0,6.7304,1304,8.7206,15828.7208
V0316,Sur,4,6,10.5339,0,5,0,3.8572,1239,9.7590,17627.8207
V0317,Norte,10,5,7.4912,0,4,0,9.9833,1731,21.3932,38580.3304
V0318,Norte,9,5,8.0881,0,12,0,9.0907,1599,19.9661,35730.7577
V0319,Centro,11,3,6.5014,0,5,0,10.8966,1772,30.4029,54730.5282
V0320,Sur,5,5,21.4625,0,11,1,5.0303,1654,6.5623,11741.6235
V0321,Sur,3,2,22.7524,0,7,0,2.6569,2041,8.6641,15492.8828
V0322,Sur,8,4,23.0923,0,11,0,7.5443,1399,20.1306,36173.0795
V0323,Centro,10,2,15.3191,0,12,0,9.9306,1829,36.1931,65045.9369
V0324,Sur,9,3,11.1819,0,8,0,8.9105,1383,22.6012,40712.8829
V0325,Norte,2,6,19.4072,0,10,0,2.7295,2116,8.3745,15080.2538
V0326,Sur,3,4,12.4616,0,5,0,3.2459,1551,8.2591,14869.4736
V0327,Centro,8,3,19.0504,0,5,0,7.9601,1884,21.5496,38868.8329
V0328,Sur,9,3,7.7629,0,13,0,9.1063,1095,23.5444,42425.2117
V0329,Norte,5,4,18.2782,0,13,0,5.0457,1664,7.1433,12725.9303
