lote_id,centro,turno,metodo,lineas_pedido,distancia_m,tiempo_antes_min,tiempo_despues_min,incumple_sla,alarma_previa,demanda_repuestos,costo_final_clp
L0083,Centro,Tarde,Guiado,26,732.8829,29.6574,31.2084,0,0,2,21362.5145
L0084,Sur,Manana,Guiado,28,498.2556,29.0373,26.3746,0,0,3,19912.3947
L0085,Norte,Tarde,Actual,40,515.6646,32.3331,32.3301,1,0,3,25699.0381
L0086,Centro,Tarde,Actual,28,781.7184,32.9593,32.1703,1,1,3,25651.0925
L0087,Sur,Manana,Actual,33,429.3911,27.3539,32.9422,1,1,1,25882.6719
L0088,Norte,Tarde,Balanceado,33,442.9798,30.9676,29.7177,0,0,3,20915.3022
L0089,Centro,Manana,Guiado,30,375.7447,25.7681,25.9463,0,1,3,19783.8958
L0090,Sur,Manana,Balanceado,24,329.4381,28.0197,26.0884,0,0,3,19826.5160
L0091,Norte,Manana,Guiado,35,623.7355,31.0055,32.6813,1,1,1,25804.3977
L0092,Centro,Tarde,Guiado,31,414.7582,32.7571,29.6501,0,0,2,20895.0288
L0093,Sur,Tarde,Actual,27,588.4520,30.3307,32.2440,1,1,1,25673.2032
L0094,Norte,Manana,Balanceado,30,105.0145,24.3108,18.8666,0,0,1,17659.9671
L0095,Centro,Tarde,Guiado,30,136.8970,27.0556,26.0097,0,0,5,19802.8985
L0096,Sur,Manana,Actual,36,427.4399,32.4966,33.4003,1,1,6,26020.0896
L0097,Norte,Manana,Actual,25,756.7827,35.8822,30.4857,0,0,3,21145.7093
L0098,Centro,Tarde,Actual,39,361.7957,31.0485,31.2322,0,0,1,21369.6690
L0099,Sur,Manana,Actual,48,698.4501,36.0515,39.0800,1,1,1,27723.9939
L0100,Norte,Tarde,Balanceado,35,628.9008,34.0112,28.7202,0,0,1,20616.0455
L0101,Centro,Tarde,Actual,33,364.2465,25.9272,31.9944,0,0,2,21598.3168
L0102,Sur,Tarde,Balanceado,33,734.7142,39.0506,27.3752,0,0,3,20212.5490
L0103,Norte,Tarde,Guiado,37,145.2069,29.6776,30.8166,0,0,3,21244.9771
L0104,Centro,Tarde,Balanceado,32,141.5078,29.6462,24.3469,0,0,2,19304.0825
L0105,Sur,Tarde,Balanceado,28,268.7994,32.6573,25.3020,0,0,3,19590.6126
L0106,Norte,Tarde,Guiado,32,347.7128,27.1042,26.4163,0,0,1,19924.8908
L0107,Centro,Tarde,Guiado,42,609.1550,32.4163,27.1749,0,0,3,20152.4586
L0108,Sur,Manana,Actual,39,536.5166,30.3491,33.5230,1,1,0,26056.8894
L0109,Norte,Tarde,Guiado,36,405.8362,31.8158,33.4193,1,1,5,26025.7868
L0110,Centro,Manana,Balanceado,36,139.9848,24.3390,22.5243,0,0,3,18757.2798
L0111,Sur,Tarde,Balanceado,22,483.5194,29.3778,29.6185,0,0,5,20885.5411
L0112,Norte,Tarde,Balanceado,34,519.5435,32.7913,28.2310,0,0,2,20469.2850
L0113,Centro,Manana,Actual,31,645.7975,32.6282,35.5332,1,1,1,26659.9587
L0114,Sur,Manana,Balanceado,34,679.2275,33.8384,29.6775,0,0,2,20903.2606
L0115,Norte,Tarde,Actual,31,591.1118,28.1931,28.5953,0,0,2,20578.5969
L0116,Centro,Tarde,Balanceado,19,753.0492,30.2824,26.6056,0,1,2,19981.6880
L0117,Sur,Tarde,Guiado,27,204.8926,28.2512,29.1203,0,0,4,20736.0770
L0118,Norte,Tarde,Actual,33,527.2071,32.1258,32.2992,1,0,0,25689.7454
L0119,Centro,Manana,Actual,31,455.7329,26.5508,30.7644,0,1,4,21229.3072
L0120,Sur,Tarde,Balanceado,30,131.1288,24.9638,26.7112,0,0,2,20013.3487
L0121,Norte,Tarde,Actual,33,613.9781,33.3160,29.6395,0,0,1,20891.8440
L0122,Centro,Tarde,Actual,31,479.5157,30.9689,25.8448,0,0,0,19753.4427
L0123,Sur,Manana,Actual,28,559.4675,28.9410,30.4628,0,0,1,21138.8400
L0124,Norte,Tarde,Actual,29,156.8827,26.1518,28.3465,0,0,7,20503.9374
L0125,Centro,Tarde,Balanceado,33,760.7759,32.4646,29.6697,0,1,4,20900.9010
L0126,Sur,Tarde,Balanceado,31,582.2943,32.2990,30.1778,0,1,3,21053.3435
L0127,Norte,Manana,Balanceado,31,480.7108,29.0195,27.8180,0,1,5,20345.4126
L0128,Centro,Manana,Guiado,36,151.3767,29.1290,22.6612,0,0,2,18798.3523
L0129,Sur,Manana,Actual,33,362.7925,34.9302,28.1914,0,1,3,20457.4204
L0130,Norte,Manana,Balanceado,27,671.6089,30.8501,26.0525,0,0,3,19815.7533
L0131,Centro,Tarde,Balanceado,29,341.7623,28.2254,24.1917,0,0,4,19257.4973
L0132,Sur,Manana,Balanceado,23,371.4577,27.3800,22.6440,0,0,2,18793.2039
L0133,Norte,Tarde,Actual,27,400.1081,27.3743,25.1866,0,0,2,19555.9667
L0134,Centro,Tarde,Guiado,26,705.9837,30.0777,27.6655,0,0,1,20299.6431
L0135,Sur,Tarde,Balanceado,35,513.8815,33.1532,30.2071,0,0,1,21062.1340
L0136,Norte,Manana,Balanceado,21,661.8494,26.6752,24.3583,0,0,2,19307.4780
L0137,Centro,Manana,Guiado,29,275.6819,27.0511,26.3797,0,0,0,19913.8978
L0138,Sur,Manana,Balanceado,28,709.4695,30.7793,26.9438,0,0,4,20083.1377
L0139,Norte,Manana,Guiado,27,207.6410,28.5298,25.6303,0,0,2,19689.0794
L0140,Centro,Tarde,Balanceado,29,767.1492,30.7061,32.0226,1,1,2,25606.7717
L0141,Sur,Tarde,Guiado,28,661.7957,33.4975,34.0326,1,1,1,26209.7756
L0142,Norte,Tarde,Balanceado,33,426.0552,32.9979,26.4407,0,0,1,19932.2000
L0143,Centro,Tarde,Balanceado,36,681.5745,35.3001,31.4255,0,0,1,21427.6645
L0144,Sur,Tarde,Balanceado,31,192.5896,29.0794,27.4890,0,0,0,20246.7055
L0145,Norte,Tarde,Actual,32,367.5300,27.8227,29.9847,0,0,1,20995.4226
L0146,Centro,Tarde,Actual,38,198.9830,28.3316,31.3908,0,0,3,21417.2341
L0147,Sur,Tarde,Balanceado,25,307.9875,27.9806,25.1712,0,0,1,19551.3526
L0148,Norte,Tarde,Balanceado,27,380.5031,28.2051,23.7681,0,0,2,19130.4350
L0149,Centro,Manana,Balanceado,27,142.9567,24.7644,23.0344,0,0,0,18910.3349
L0150,Sur,Manana,Balanceado,31,150.6433,33.0601,23.4272,0,0,3,19028.1540
L0151,Norte,Tarde,Balanceado,40,472.2508,36.6926,29.6792,0,0,3,20903.7618
L0152,Centro,Tarde,Actual,34,625.0055,34.0048,30.7106,0,1,1,21213.1748
L0153,Sur,Tarde,Guiado,23,754.4567,29.2820,26.8968,0,0,1,20069.0303
L0154,Norte,Manana,Guiado,29,587.7637,29.1360,29.2075,0,0,0,20762.2564
L0155,Centro,Tarde,Actual,26,849.2811,29.5671,35.8741,1,0,5,26762.2160
L0156,Sur,Manana,Balanceado,29,796.6011,34.1777,30.4821,0,0,2,21144.6306
L0157,Norte,Manana,Guiado,28,814.7054,31.6307,32.8642,1,0,0,25859.2595
L0158,Centro,Manana,Actual,36,639.6622,32.9006,33.6674,1,1,1,26100.2292
L0159,Sur,Tarde,Actual,32,685.5513,33.1827,31.5386,0,0,2,21461.5768
L0160,Norte,Manana,Actual,37,741.6435,31.5954,31.1875,0,0,4,21356.2442
L0161,Centro,Tarde,Balanceado,27,827.5653,33.1453,29.1079,0,0,2,20732.3660
L0162,Sur,Tarde,Actual,41,232.7048,31.4969,34.4149,1,1,4,26324.4833
L0163,Norte,Manana,Guiado,24,809.2119,30.1079,27.5524,0,0,1,20265.7093
L0164,Centro,Tarde,Guiado,34,675.3998,35.3474,31.1344,0,0,2,21340.3219
L0165,Sur,Manana,Guiado,36,425.1435,33.3766,28.8629,0,0,1,20658.8777
L0166,Norte,Manana,Balanceado,26,247.2508,27.9457,22.9917,0,0,1,18897.5236
L0167,Centro,Manana,Actual,29,742.7093,35.1078,32.6503,1,1,3,25795.0941
L0168,Sur,Tarde,Guiado,25,117.8901,29.4681,38.2917,1,1,1,27487.5232
L0169,Norte,Tarde,Balanceado,34,173.0202,26.7714,24.8975,0,0,3,19469.2414
L0170,Centro,Tarde,Guiado,29,645.7005,31.7472,24.7262,0,1,1,19417.8577
L0171,Sur,Tarde,Actual,34,443.4074,33.0578,33.5098,1,1,1,26052.9342
L0172,Norte,Manana,Guiado,33,371.1182,32.1982,27.9298,0,0,5,20378.9359
L0173,Centro,Tarde,Actual,37,635.4400,29.7219,34.2456,1,0,4,26273.6928
L0174,Sur,Tarde,Actual,40,162.9523,32.8085,32.4787,1,0,2,25743.5962
L0175,Norte,Manana,Actual,22,793.3117,32.1963,26.5259,0,0,1,19957.7805
L0176,Centro,Tarde,Actual,38,447.3759,31.1921,33.1622,1,0,3,25948.6644
L0177,Sur,Manana,Actual,28,229.8442,26.3690,27.3361,0,1,3,20200.8163
L0178,Norte,Tarde,Guiado,33,149.4565,24.6180,29.6923,0,0,6,20907.6850
L0179,Centro,Tarde,Actual,32,548.6720,30.8462,31.5122,0,1,2,21453.6574
L0180,Sur,Tarde,Guiado,22,232.0143,30.2608,22.6157,0,0,1,18784.6965
L0181,Norte,Tarde,Guiado,37,132.5051,29.2800,28.9670,0,0,2,20690.0940
L0182,Centro,Manana,Actual,28,472.1426,27.3238,29.8669,0,1,1,20960.0560
L0183,Sur,Manana,Balanceado,31,181.3685,26.3972,24.3915,0,1,0,19317.4492
L0184,Norte,Tarde,Actual,28,712.6445,33.2035,31.1529,0,0,5,21345.8801
L0185,Centro,Tarde,Balanceado,28,498.0319,30.2258,26.4443,0,0,1,19933.2796
L0186,Sur,Manana,Actual,31,776.9146,33.1108,32.1033,1,1,1,25630.9983
L0187,Norte,Manana,Guiado,22,275.9131,23.7947,24.1191,0,0,1,19235.7396
L0188,Centro,Tarde,Actual,29,175.4594,28.0990,27.6011,0,0,1,20280.3221
L0189,Sur,Tarde,Guiado,37,645.9096,34.8031,30.4247,0,0,3,21127.4165
L0190,Norte,Manana,Guiado,35,295.5386,29.7232,28.5279,0,0,1,20558.3554
L0191,Centro,Manana,Guiado,37,398.2560,34.3750,28.1668,0,0,0,20450.0509
L0192,Sur,Tarde,Guiado,21,349.0910,33.1041,24.7587,0,0,2,19427.6234
L0193,Norte,Tarde,Guiado,43,802.0873,35.8557,35.5678,1,1,3,26670.3309
L0194,Centro,Tarde,Guiado,29,285.4990,33.5023,23.0430,0,1,0,18912.8858
L0195,Sur,Tarde,Guiado,25,433.8480,30.9340,30.2343,0,0,4,21070.2872
L0196,Norte,Tarde,Actual,25,734.9136,29.6117,30.6692,0,0,3,21200.7573
L0197,Centro,Manana,Balanceado,38,360.2589,28.8872,30.4813,0,0,5,21144.3996
L0198,Sur,Tarde,Actual,32,793.0907,33.7782,40.2125,1,1,4,28063.7519
L0199,Norte,Manana,Guiado,27,449.5079,22.8503,25.6458,0,0,2,19693.7293
L0200,Centro,Manana,Balanceado,31,356.7386,29.9755,25.2834,0,0,4,19585.0189
L0201,Sur,Tarde,Balanceado,35,207.9399,30.9991,27.8651,0,0,2,20359.5178
L0202,Norte,Tarde,Actual,28,529.7569,28.0445,32.3362,1,1,1,25700.8714
L0203,Centro,Manana,Actual,31,220.0661,27.2739,25.6819,0,1,2,19704.5840
L0204,Sur,Manana,Balanceado,30,156.9379,27.2003,25.1809,0,0,4,19554.2728
L0205,Norte,Tarde,Balanceado,32,637.7872,33.2797,24.2558,0,0,6,19276.7524
L0206,Centro,Tarde,Guiado,29,163.9339,26.6333,25.7508,0,0,3,19725.2548
L0207,Sur,Manana,Guiado,24,281.2672,28.3263,25.2384,0,0,1,19571.5067
L0208,Norte,Tarde,Actual,31,378.7227,29.2338,32.3866,1,1,1,25715.9748
L0209,Centro,Manana,Guiado,24,248.3868,24.2653,26.7916,0,0,4,20037.4806
L0210,Sur,Manana,Guiado,32,192.0172,28.3205,29.0940,0,0,2,20728.2097
L0211,Norte,Tarde,Balanceado,37,848.2943,33.1795,29.8233,0,0,3,20947.0038
L0212,Centro,Manana,Guiado,36,256.6703,31.0983,27.7791,0,0,4,20333.7409
L0213,Sur,Tarde,Balanceado,26,361.6365,32.0292,29.7074,0,0,3,20912.2293
L0214,Norte,Manana,Actual,31,491.3957,28.5270,30.5649,0,0,3,21169.4718
L0215,Centro,Tarde,Guiado,24,505.9623,29.0864,26.1654,0,1,4,19849.6330
L0216,Sur,Manana,Balanceado,28,607.2542,33.0793,27.1353,0,0,2,20140.5889
L0217,Norte,Tarde,Guiado,35,355.6929,33.1428,32.1997,1,1,2,25659.9196
L0218,Centro,Tarde,Actual,29,576.3300,30.5780,29.8453,0,0,4,20953.5870
L0219,Sur,Manana,Balanceado,25,328.5613,31.1858,23.3192,0,0,1,18995.7576
L0220,Norte,Manana,Guiado,28,752.1030,33.8205,24.8641,0,0,0,19459.2279
L0221,Centro,Tarde,Balanceado,30,794.8891,30.5495,29.0547,0,0,2,20716.4171
L0222,Sur,Manana,Balanceado,40,650.1763,38.0961,32.6420,1,1,1,25792.6142
L0223,Norte,Tarde,Balanceado,30,281.8107,26.5799,26.4916,0,0,2,19947.4770
L0224,Centro,Manana,Actual,39,795.5819,36.2134,35.4463,1,1,2,26633.8767
L0225,Sur,Tarde,Balanceado,27,757.5402,32.1947,28.8185,0,0,3,20645.5456
L0226,Norte,Tarde,Guiado,24,147.2971,26.8802,23.0854,0,0,3,18925.6237
L0227,Centro,Manana,Actual,27,485.5940,28.5373,28.5269,0,0,1,20558.0576
L0228,Sur,Manana,Actual,24,753.3413,30.8460,31.4904,0,0,0,21447.1236
L0229,Norte,Manana,Balanceado,30,216.5295,27.2375,26.3132,0,1,2,19893.9555
L0230,Centro,Manana,Actual,27,319.1515,28.4388,24.1367,0,0,0,19241.0006
L0231,Sur,Tarde,Guiado,35,475.1990,29.3907,33.1623,1,0,2,25948.6962
L0232,Norte,Manana,Guiado,25,574.6314,33.0134,26.3024,0,0,5,19890.7198
L0233,Centro,Tarde,Guiado,31,301.9198,30.4728,23.5824,0,0,1,19074.7321
L0234,Sur,Manana,Actual,36,528.8270,33.2410,33.5317,1,1,2,26059.5085
L0235,Norte,Tarde,Balanceado,34,166.6524,29.1862,24.1476,0,0,2,19244.2891
L0236,Centro,Manana,Balanceado,29,508.4897,29.8748,23.6154,0,0,1,19084.6063
L0237,Sur,Tarde,Actual,27,698.4718,33.0873,31.2232,0,0,5,21366.9544
L0238,Norte,Manana,Guiado,32,700.4443,30.8149,29.9350,0,0,1,20980.4953
L0239,Centro,Manana,Balanceado,31,208.8081,29.4647,27.2799,0,0,1,20183.9838
L0240,Sur,Manana,Actual,25,556.9673,34.4433,32.6001,1,1,3,25780.0429
L0241,Norte,Manana,Actual,34,576.7649,28.4330,29.8942,0,1,3,20968.2658
L0242,Centro,Tarde,Balanceado,37,407.0409,30.3429,28.8635,0,0,3,20659.0475
L0243,Sur,Manana,Balanceado,35,397.4217,28.8197,25.7112,0,0,3,19713.3725
L0244,Norte,Manana,Actual,40,592.0943,29.7112,33.7248,1,1,0,26117.4511
L0245,Centro,Tarde,Guiado,25,277.7339,27.7124,27.6273,0,1,5,20288.2042
L0246,Sur,Manana,Balanceado,31,333.0655,30.9772,27.4353,0,0,2,20230.5834
L0247,Norte,Manana,Guiado,31,320.5309,28.7816,28.5697,0,0,0,20570.8984
L0248,Centro,Tarde,Guiado,31,605.3196,34.9585,23.4268,0,0,3,19028.0311
L0249,Sur,Tarde,Actual,32,400.9669,32.6771,31.3496,0,0,2,21404.8874
L0250,Norte,Tarde,Balanceado,22,617.1453,32.9285,23.6927,0,0,1,19107.8008
L0251,Centro,Tarde,Actual,30,738.4967,31.9419,34.0472,1,1,3,26214.1638
L0252,Sur,Manana,Actual,36,621.1546,38.3328,33.9633,1,1,3,26188.9897
L0253,Norte,Tarde,Actual,43,765.4309,34.1298,35.0018,1,1,0,26500.5524
L0254,Centro,Tarde,Guiado,33,410.0523,30.9352,28.5853,0,0,1,20575.5793
L0255,Sur,Tarde,Actual,27,217.6271,26.7203,30.7922,0,0,2,21237.6749
L0256,Norte,Tarde,Balanceado,34,772.3991,35.5109,29.6725,0,0,2,20901.7471
L0257,Centro,Manana,Balanceado,32,315.0722,29.7189,27.0124,0,1,1,20103.7123
L0258,Sur,Manana,Actual,34,402.2211,33.9586,28.2813,0,0,2,20484.3770
L0259,Norte,Tarde,Balanceado,34,558.5984,32.4164,29.7504,0,0,3,20925.1141
L0260,Centro,Manana,Actual,28,679.4947,27.6582,29.7864,0,0,3,20935.9194
L0261,Sur,Manana,Balanceado,18,356.1845,26.1414,24.4837,0,0,5,19345.0984
L0262,Norte,Tarde,Balanceado,27,162.4764,30.4432,22.4590,0,0,1,18737.7015
L0263,Centro,Tarde,Balanceado,24,818.7575,28.9787,27.9793,0,0,6,20393.7859
L0264,Sur,Tarde,Guiado,28,784.7096,35.3500,31.9120,0,0,4,21573.6142
L0265,Norte,Tarde,Balanceado,28,511.1673,32.7174,24.8150,0,0,0,19444.4993
L0266,Centro,Tarde,Actual,28,251.8965,26.2415,30.2159,0,0,4,21064.7694
L0267,Sur,Manana,Actual,32,307.3959,28.9894,29.4737,0,0,1,20842.1230
L0268,Norte,Manana,Guiado,30,511.6229,25.6893,26.2506,0,0,6,19875.1857
L0269,Centro,Manana,Guiado,33,798.6689,32.9272,28.1023,0,0,2,20430.6940
L0270,Sur,Manana,Guiado,43,391.0818,36.2215,30.6990,0,0,2,21209.6960
L0271,Norte,Manana,Actual,27,773.5267,33.5632,31.8415,0,1,2,21552.4506
L0272,Centro,Tarde,Balanceado,32,423.1260,33.1208,26.4015,0,0,2,19920.4548
L0273,Sur,Manana,Actual,28,121.5426,28.0912,24.9814,0,0,1,19494.4337
L0274,Norte,Manana,Guiado,33,167.5386,27.7170,23.4041,0,0,1,19021.2408
L0275,Centro,Tarde,Balanceado,27,156.2908,26.4486,21.1895,0,0,0,18356.8585
L0276,Sur,Manana,Guiado,29,106.8614,27.3530,25.7549,0,0,2,19726.4651
L0277,Norte,Tarde,Guiado,25,601.2169,27.7096,26.2592,0,0,0,19877.7579
L0278,Centro,Tarde,Balanceado,38,656.5230,31.5522,26.7567,0,0,2,20027.0178
L0279,Sur,Manana,Actual,34,461.4859,36.3931,34.0044,1,1,2,26201.3059
L0280,Norte,Manana,Balanceado,28,185.0582,29.1779,25.6143,0,0,3,19684.2825
L0281,Centro,Manana,Balanceado,24,371.2528,26.8961,23.1899,0,0,4,18956.9649
L0282,Sur,Tarde,Guiado,42,441.0100,32.3186,30.2269,0,0,4,21068.0572
L0283,Norte,Manana,Guiado,31,326.4887,29.7887,23.4763,0,0,5,19042.9044
L0284,Centro,Manana,Actual,36,714.8708,32.7671,32.5704,1,1,1,25771.1294
L0285,Sur,Manana,Actual,40,462.3404,33.4065,38.9731,1,0,2,27691.9260
L0286,Norte,Manana,Guiado,30,138.7558,27.8951,25.0600,0,0,4,19517.9963
L0287,Centro,Manana,Guiado,30,277.0247,25.9006,24.5363,0,0,6,19360.8859
L0288,Sur,Manana,Guiado,25,677.1479,31.3694,30.2490,0,1,0,21074.6870
L0289,Norte,Manana,Guiado,32,784.3358,29.7721,29.2959,0,0,1,20788.7791
L0290,Centro,Manana,Guiado,36,455.1303,32.1431,24.4005,0,0,5,19320.1425
L0291,Sur,Manana,Guiado,33,771.6372,35.1944,30.6105,0,1,1,21183.1532
L0292,Norte,Tarde,Guiado,31,412.8035,31.2078,28.7378,0,0,1,20621.3432
L0293,Centro,Tarde,Balanceado,22,396.0132,23.9304,23.6293,0,0,3,19088.7917
L0294,Sur,Tarde,Guiado,30,121.6312,29.2144,25.4175,0,0,2,19625.2473
L0295,Norte,Tarde,Balanceado,35,345.8358,29.1125,28.6448,0,0,1,20593.4252
L0296,Centro,Manana,Guiado,30,840.5748,31.1445,30.8414,0,0,6,21252.4149
L0297,Sur,Manana,Balanceado,23,339.4191,26.0191,23.8729,0,0,1,19161.8649
