pedido_id,semana,centro,canal,camiones_cola,distancia_km,holgura_min,revision_documental,urgente,incidencias_previas,carga_proxy,atraso,compensacion_real_clp
P1563,16,Norte,Empresa,5,100.5956,19.5589,1,0,0,4.6747,0,0.0000
P1564,16,Norte,Sucursal,7,169.7726,6.2773,0,0,4,7.2196,0,0.0000
P1565,16,Norte,Web,5,136.2225,28.2491,1,1,1,4.7594,0,0.0000
P1566,16,Centro,Sucursal,4,5.0276,27.0360,0,0,0,3.6664,0,0.0000
P1567,16,Norte,Web,4,157.7774,5.1184,0,0,2,4.2145,0,0.0000
P1568,16,Centro,Empresa,8,112.6834,16.2974,0,0,2,8.1290,0,0.0000
P1569,16,Norte,Web,7,144.0920,11.4582,1,0,1,6.9490,0,0.0000
P1570,16,Sur,Sucursal,5,92.6549,17.0355,1,0,0,5.3403,0,0.0000
P1571,16,Norte,Web,6,151.4571,24.8109,0,0,1,5.9654,0,0.0000
P1572,16,Norte,Empresa,6,81.2937,10.4962,0,0,1,6.0244,0,0.0000
P1573,16,Centro,Empresa,4,89.3121,37.2477,0,1,1,3.5294,0,0.0000
P1574,16,Norte,Empresa,9,81.2499,35.4590,0,0,0,8.8934,0,0.0000
P1575,16,Sur,Web,3,9.2046,32.7655,0,1,1,2.6429,0,0.0000
P1576,16,Norte,Empresa,6,14.1014,21.1800,0,0,0,6.6086,0,0.0000
P1577,16,Sur,Empresa,5,120.8415,10.9031,0,1,1,4.5387,0,0.0000
P1578,16,Centro,Empresa,6,34.7528,16.0532,1,0,2,5.9651,0,0.0000
P1579,16,Norte,Empresa,6,176.8690,30.8957,1,1,0,5.6149,0,0.0000
P1580,16,Centro,Sucursal,13,11.8667,27.4292,0,0,1,12.9962,0,0.0000
P1581,16,Centro,Empresa,7,178.4659,38.9371,0,0,3,6.9674,0,0.0000
P1582,16,Norte,Web,8,129.4551,14.1663,0,0,1,8.2280,0,0.0000
P1583,16,Centro,Empresa,5,91.6731,8.6381,0,1,3,5.5582,1,113881.0182
P1584,16,Sur,Empresa,11,172.0612,26.8553,0,0,0,10.8382,0,0.0000
P1585,16,Centro,Empresa,7,25.0305,37.0453,0,1,0,7.1040,0,0.0000
P1586,16,Centro,Empresa,7,107.5838,16.6803,0,1,1,7.2511,1,119022.2841
P1587,16,Centro,Web,8,85.6292,27.5475,0,0,0,7.7107,0,0.0000
P1588,16,Norte,Web,7,111.3729,22.0177,0,0,2,6.6107,0,0.0000
P1589,16,Sur,Sucursal,3,38.5628,33.7114,0,1,0,3.1654,0,0.0000
P1590,16,Norte,Sucursal,6,123.6922,17.4862,0,1,1,5.6299,0,0.0000
P1591,16,Sur,Sucursal,5,33.3165,23.2849,0,0,0,4.7850,0,0.0000
P1592,16,Centro,Sucursal,5,39.7811,12.6863,0,0,0,4.4321,0,0.0000
P1593,16,Norte,Sucursal,3,81.2701,32.5818,1,1,1,2.8775,1,118151.9726
P1594,16,Sur,Empresa,2,33.5828,27.0424,0,0,2,1.7635,0,0.0000
P1595,16,Sur,Sucursal,1,138.6037,12.6245,0,0,2,1.5458,0,0.0000
P1596,16,Sur,Web,1,58.6856,28.6831,0,1,1,0.0586,0,0.0000
P1597,16,Sur,Empresa,7,176.1633,27.5098,0,0,1,7.2347,0,0.0000
P1598,16,Norte,Web,11,67.5526,33.0305,1,1,1,10.5760,0,0.0000
P1599,16,Sur,Sucursal,6,64.5274,28.2962,0,0,0,5.3272,0,0.0000
P1600,16,Sur,Empresa,6,67.4633,32.0912,0,0,2,5.6059,0,0.0000
P1601,17,Sur,Sucursal,9,19.4855,13.1812,0,1,2,9.3232,1,106989.4778
P1602,17,Sur,Sucursal,6,107.2712,15.3406,0,0,2,5.5726,1,113477.7884
P1603,17,Sur,Sucursal,5,106.5430,15.5189,0,0,0,5.1156,0,0.0000
P1604,17,Sur,Empresa,4,145.4186,28.5267,0,0,1,3.7066,0,0.0000
P1605,17,Centro,Web,3,15.2082,22.0536,1,0,1,3.8197,0,0.0000
P1606,17,Sur,Empresa,7,NA,26.1445,0,0,0,7.3762,1,122314.1869
P1607,17,Centro,Empresa,4,96.3858,25.4461,0,0,1,4.4843,0,0.0000
P1608,17,Sur,Empresa,4,58.7991,18.8327,1,0,2,3.6556,0,0.0000
P1609,17,Centro,Sucursal,7,113.9989,16.7883,0,0,1,6.3214,1,117010.1685
P1610,17,Sur,Empresa,9,48.5703,10.1351,0,0,0,8.7526,1,112382.7629
P1611,17,Norte,Web,7,179.3928,8.2946,0,0,3,6.7752,1,124120.5368
P1612,17,Sur,Sucursal,7,77.3617,17.1686,0,0,0,7.2019,1,135017.7343
P1613,17,Sur,Empresa,7,101.0818,14.4705,0,0,0,7.1684,0,0.0000
P1614,17,Norte,Web,5,107.2523,30.3687,0,0,1,4.4021,0,0.0000
P1615,17,Centro,Web,8,56.1673,27.5297,0,0,1,7.9638,0,0.0000
P1616,17,Norte,Web,6,170.5492,18.9981,0,0,0,5.8510,0,0.0000
P1617,17,Norte,Empresa,3,135.5206,17.5996,1,0,0,2.6052,1,120668.4630
P1618,17,Centro,Empresa,8,158.0543,21.2021,0,0,4,7.5955,0,0.0000
P1619,17,Centro,Sucursal,11,19.2930,24.9467,0,0,1,11.3102,0,0.0000
P1620,17,Norte,Sucursal,7,NA,10.6261,0,1,2,7.5011,0,0.0000
P1621,17,Centro,Sucursal,5,36.6221,32.2369,0,1,0,5.1083,1,112572.5502
P1622,17,Norte,Sucursal,4,93.6675,6.2924,1,0,1,4.2245,1,126160.8691
P1623,17,Sur,Web,3,37.7612,5.7005,0,0,3,2.3920,0,0.0000
P1624,17,Norte,Empresa,3,115.7714,34.4694,1,1,3,2.8085,0,0.0000
P1625,17,Centro,Sucursal,6,115.5843,37.3632,0,1,0,6.1683,0,0.0000
P1626,17,Centro,Sucursal,3,160.1551,39.6210,0,0,0,2.7886,0,0.0000
P1627,17,Centro,Sucursal,8,105.3836,17.9864,0,0,0,8.1173,0,0.0000
P1628,17,Norte,Web,5,118.9704,34.1752,0,0,1,4.8993,0,0.0000
P1629,17,Norte,Sucursal,5,15.3260,5.3243,0,0,0,5.1834,0,0.0000
P1630,17,Sur,Web,8,152.7915,12.4655,0,0,1,8.1057,1,113533.8937
P1631,17,Sur,Web,6,134.5052,27.6584,0,0,1,5.6085,0,0.0000
P1632,17,Norte,Sucursal,8,136.3595,35.7418,1,0,1,8.0160,0,0.0000
P1633,17,Centro,Web,3,38.5071,33.9824,0,0,0,3.3165,0,0.0000
P1634,17,Sur,Sucursal,5,151.8989,34.0923,0,1,2,5.0421,0,0.0000
P1635,17,Norte,Web,5,123.1768,8.1332,0,0,2,5.1973,0,0.0000
P1636,17,Sur,Empresa,6,171.8782,39.4085,0,0,3,6.1576,0,0.0000
P1637,17,Centro,Sucursal,3,NA,8.7969,0,0,0,2.9087,0,0.0000
P1638,17,Sur,Sucursal,8,27.0059,17.0933,1,0,0,7.6278,0,0.0000
P1639,17,Centro,Web,5,31.7560,35.8779,0,0,1,5.3074,0,0.0000
P1640,17,Norte,Web,10,80.4319,13.9085,0,0,0,9.8354,1,116217.3388
P1641,17,Norte,Empresa,6,125.7993,28.5438,0,0,2,5.8813,0,0.0000
P1642,17,Sur,Web,2,76.9625,34.0550,0,0,0,2.0387,0,0.0000
P1643,17,Centro,Sucursal,2,39.2878,21.9552,0,0,2,1.9946,0,0.0000
P1644,17,Sur,Sucursal,4,96.7350,32.1860,0,0,0,3.6381,0,0.0000
P1645,17,Centro,Web,6,145.2669,27.8889,0,0,0,5.6867,0,0.0000
P1646,17,Centro,Sucursal,2,10.2291,6.3787,1,0,3,1.6615,0,0.0000
P1647,17,Centro,Web,10,166.0493,19.2812,0,0,1,9.7765,0,0.0000
P1648,17,Norte,Empresa,5,117.9725,25.0757,1,0,0,5.1330,0,0.0000
P1649,17,Sur,Sucursal,7,6.4843,14.4291,0,0,2,7.5403,0,0.0000
P1650,17,Norte,Sucursal,8,146.2747,26.8210,1,0,1,7.9675,0,0.0000
P1651,17,Norte,Web,2,105.5591,36.1596,0,1,3,2.0598,0,0.0000
P1652,17,Centro,Sucursal,8,118.1381,39.9234,0,0,1,7.5895,0,0.0000
P1653,17,Norte,Empresa,4,71.5156,21.9752,0,0,1,3.8866,1,133026.1138
P1654,17,Sur,Empresa,7,104.3728,18.9318,0,1,4,6.4933,1,126032.1977
P1655,17,Norte,Sucursal,3,45.8200,34.9396,0,0,2,3.1956,0,0.0000
P1656,17,Norte,Web,9,82.3128,31.5746,1,0,1,9.5579,0,0.0000
P1657,17,Centro,Web,4,148.2266,25.1123,0,1,1,3.1270,0,0.0000
P1658,17,Norte,Web,3,78.6866,25.0291,0,0,1,2.9088,0,0.0000
P1659,17,Sur,Web,5,125.5399,16.3840,0,0,0,5.2567,0,0.0000
P1660,17,Sur,Sucursal,10,170.2178,38.5778,1,0,1,10.8368,0,0.0000
P1661,17,Sur,Web,6,85.7992,21.1159,0,1,0,6.0475,1,130091.8215
P1662,17,Sur,Sucursal,4,60.7784,11.0729,0,0,3,4.6283,0,0.0000
P1663,17,Norte,Empresa,5,163.4585,25.6691,1,0,0,5.0879,0,0.0000
P1664,17,Norte,Sucursal,7,79.1225,35.6413,0,0,2,6.6438,0,0.0000
P1665,17,Sur,Sucursal,5,53.5557,29.6919,0,1,0,5.3127,0,0.0000
P1666,17,Norte,Web,7,146.7969,31.6659,1,0,2,6.5781,0,0.0000
P1667,17,Centro,Sucursal,3,73.1136,14.9658,0,1,2,3.1787,1,115032.8646
P1668,17,Norte,Web,8,54.9256,36.4667,0,0,1,7.6811,1,111420.2742
P1669,17,Centro,Web,5,50.6292,19.0027,0,0,0,5.1405,0,0.0000
P1670,17,Norte,Empresa,10,53.6270,9.3378,0,0,0,9.7176,0,0.0000
P1671,17,Norte,Sucursal,8,135.5170,19.9300,0,0,0,8.0354,0,0.0000
P1672,17,Norte,Web,5,13.2420,38.8470,0,0,1,5.3396,0,0.0000
P1673,17,Norte,Sucursal,10,26.7273,7.3864,0,0,1,9.8941,0,0.0000
P1674,17,Centro,Sucursal,2,167.1148,21.8957,0,0,1,2.1109,0,0.0000
P1675,17,Norte,Sucursal,7,NA,34.2134,1,0,1,6.7803,0,0.0000
P1676,17,Centro,Empresa,3,129.1021,17.2363,0,0,2,3.4916,0,0.0000
P1677,17,Centro,Web,4,112.1607,12.6522,0,0,4,3.9725,0,0.0000
P1678,17,Centro,Web,5,162.1544,13.0839,1,1,2,5.6431,1,121196.9750
P1679,17,Centro,Empresa,7,62.2427,16.1080,0,0,0,7.5718,0,0.0000
P1680,17,Centro,Web,7,NA,13.7249,0,1,4,7.0994,0,0.0000
P1681,17,Norte,Empresa,8,87.7785,6.6283,0,0,0,7.5817,0,0.0000
P1682,17,Centro,Web,8,73.0008,36.2154,0,0,0,8.5308,0,0.0000
P1683,17,Norte,Sucursal,9,22.3143,38.1497,0,0,2,8.9035,0,0.0000
P1684,17,Sur,Empresa,7,67.7013,27.6394,0,0,1,7.4176,0,0.0000
P1685,17,Sur,Empresa,5,151.7683,15.2791,0,0,1,4.6096,0,0.0000
P1686,17,Norte,Web,5,177.9455,19.9503,0,1,0,4.8667,0,0.0000
P1687,17,Centro,Sucursal,7,95.8823,22.0632,1,0,1,7.0819,0,0.0000
P1688,17,Centro,Web,5,44.3722,16.5565,1,0,3,5.0732,0,0.0000
P1689,17,Centro,Web,4,130.7192,23.7131,0,0,1,3.9803,0,0.0000
P1690,17,Norte,Empresa,3,84.0279,22.3090,0,1,2,2.9378,0,0.0000
P1691,17,Sur,Web,5,11.6180,17.2973,0,1,1,5.0853,0,0.0000
P1692,17,Sur,Web,3,173.2586,33.7752,1,0,0,2.8439,1,115153.5003
P1693,17,Centro,Empresa,9,115.3133,39.0912,0,0,0,9.4145,0,0.0000
P1694,17,Centro,Empresa,6,91.7775,15.9121,0,0,2,6.4939,0,0.0000
P1695,17,Centro,Empresa,9,69.3563,13.5738,0,0,1,8.6227,0,0.0000
P1696,17,Norte,Empresa,9,30.5522,22.5862,0,0,0,9.4605,0,0.0000
P1697,17,Sur,Sucursal,8,23.0799,31.2530,0,0,0,8.3461,0,0.0000
P1698,17,Sur,Sucursal,11,106.0011,21.1100,0,0,0,10.8244,0,0.0000
P1699,17,Centro,Empresa,3,173.6709,6.6465,0,0,0,2.4298,0,0.0000
P1700,17,Sur,Web,13,130.5417,20.7563,0,0,1,12.6318,0,0.0000
P1701,18,Sur,Sucursal,2,159.2577,9.6201,0,0,1,2.1288,0,0.0000
P1702,18,Norte,Empresa,2,164.0670,17.8378,0,0,1,1.7104,0,0.0000
P1703,18,Sur,Empresa,4,109.0080,14.3510,1,0,0,4.6872,1,129735.7653
P1704,18,Centro,Web,7,106.8994,24.2536,0,0,1,6.8561,0,0.0000
P1705,18,Norte,Sucursal,8,117.7072,33.0833,0,1,0,8.7660,0,0.0000
P1706,18,Centro,Web,7,156.2893,36.1594,0,1,7,7.0061,0,0.0000
P1707,18,Norte,Empresa,2,127.2548,30.1098,0,1,1,1.4163,0,0.0000
P1708,18,Norte,Sucursal,2,145.9614,10.9825,1,1,2,2.0682,1,124429.3793
P1709,18,Centro,Empresa,6,102.6479,8.3912,0,1,0,5.4285,0,0.0000
P1710,18,Centro,Empresa,12,157.8408,11.5601,0,0,0,12.1060,1,107080.1684
P1711,18,Sur,Empresa,4,91.3052,32.1532,0,1,2,3.9291,0,0.0000
P1712,18,Norte,Empresa,6,165.8970,36.3909,0,0,1,6.5521,0,0.0000
P1713,18,Sur,Web,5,43.6435,30.0780,0,0,1,5.5896,1,118138.7437
P1714,18,Centro,Empresa,7,14.7489,14.3537,0,1,1,6.7228,1,123221.6787
P1715,18,Centro,Empresa,5,38.1528,15.1082,0,0,0,3.8783,0,0.0000
P1716,18,Centro,Empresa,4,43.2799,34.6542,1,0,1,4.2481,0,0.0000
P1717,18,Centro,Sucursal,7,176.7311,34.5131,0,0,0,6.4824,0,0.0000
P1718,18,Sur,Sucursal,5,132.0064,11.3934,0,0,0,4.1374,0,0.0000
P1719,18,Centro,Sucursal,3,165.7440,11.9616,0,1,0,2.8499,1,123363.8599
P1720,18,Centro,Web,11,102.4636,19.5136,0,1,2,10.7583,0,0.0000
P1721,18,Norte,Web,5,162.0556,32.7789,0,0,1,4.2882,0,0.0000
P1722,18,Centro,Web,9,19.1151,5.4952,0,0,2,9.3317,1,125430.1312
P1723,18,Norte,Sucursal,3,93.7983,16.3688,0,0,3,3.3404,0,0.0000
P1724,18,Norte,Sucursal,6,132.9384,35.8115,1,1,0,5.8066,0,0.0000
P1725,18,Sur,Web,8,57.3024,26.9059,0,1,1,8.4239,0,0.0000
P1726,18,Norte,Empresa,6,118.2152,21.2681,0,0,3,6.0363,0,0.0000
P1727,18,Centro,Empresa,5,35.1346,36.2013,0,0,1,5.4951,0,0.0000
P1728,18,Centro,Sucursal,9,177.9473,16.9499,0,0,1,8.9003,0,0.0000
P1729,18,Sur,Empresa,9,152.2751,35.8380,0,0,2,8.4158,0,0.0000
P1730,18,Centro,Empresa,12,153.2469,13.7283,1,0,0,11.9684,1,121842.3509
P1731,18,Norte,Empresa,6,63.2662,8.0523,0,1,1,5.9716,0,0.0000
P1732,18,Centro,Sucursal,8,95.0870,26.4041,1,0,1,8.5447,0,0.0000
P1733,18,Centro,Web,4,169.2043,7.1018,0,0,1,4.0834,0,0.0000
P1734,18,Sur,Sucursal,7,134.2339,14.2054,0,0,0,7.3218,0,0.0000
P1735,18,Centro,Sucursal,6,93.4902,29.6253,0,1,4,6.5285,0,0.0000
P1736,18,Centro,Web,2,88.2648,14.6550,0,0,3,1.7088,0,0.0000
P1737,18,Sur,Web,4,111.0370,11.5804,0,0,0,4.1036,0,0.0000
P1738,18,Norte,Sucursal,9,170.5290,6.9471,0,1,2,8.7216,0,0.0000
P1739,18,Sur,Web,6,168.1697,12.5606,0,1,2,6.5961,0,0.0000
P1740,18,Norte,Empresa,10,70.9414,14.1199,0,0,1,9.5465,1,111270.8728
P1741,18,Centro,Sucursal,9,158.4467,33.6190,1,0,3,8.6583,0,0.0000
P1742,18,Sur,Sucursal,6,32.0256,36.1839,0,0,1,5.6955,0,0.0000
P1743,18,Centro,Empresa,7,24.7695,18.4243,1,1,2,7.2795,0,0.0000
P1744,18,Norte,Web,4,72.7099,22.5440,0,0,1,3.5215,0,0.0000
P1745,18,Norte,Sucursal,5,120.4862,30.1416,0,1,1,4.1857,0,0.0000
P1746,18,Centro,Sucursal,6,143.2636,29.9952,0,0,1,6.3327,0,0.0000
P1747,18,Sur,Web,8,43.9342,36.4092,0,1,0,7.6706,0,0.0000
P1748,18,Centro,Empresa,6,NA,17.6378,0,0,2,5.8891,0,0.0000
P1749,18,Norte,Empresa,7,25.6492,32.6068,0,1,2,6.8763,0,0.0000
P1750,18,Centro,Empresa,1,94.3187,14.2279,0,0,1,1.5241,1,118346.9290
P1751,18,Norte,Empresa,7,NA,18.8466,0,1,0,7.0657,0,0.0000
P1752,18,Sur,Empresa,7,53.8168,13.3912,0,0,1,6.6637,1,120083.3940
P1753,18,Norte,Sucursal,4,148.3987,21.4357,1,0,3,3.8076,0,0.0000
P1754,18,Centro,Empresa,7,155.6251,34.7928,0,0,0,7.4803,0,0.0000
P1755,18,Centro,Web,8,57.0668,31.9977,1,0,0,7.5670,0,0.0000
P1756,18,Norte,Sucursal,6,7.1111,16.0263,0,1,0,5.7831,0,0.0000
P1757,18,Norte,Empresa,9,66.0290,22.2919,1,0,1,9.0837,0,0.0000
P1758,18,Sur,Sucursal,8,146.4707,27.8567,0,1,0,8.0695,0,0.0000
P1759,18,Sur,Sucursal,11,19.0281,27.9718,0,0,0,11.5446,0,0.0000
P1760,18,Norte,Web,4,179.9657,37.4357,0,0,1,3.7082,0,0.0000
P1761,18,Sur,Web,5,44.7010,20.1954,0,0,1,5.3390,0,0.0000
P1762,18,Norte,Empresa,3,174.2215,38.0481,0,0,2,2.8382,0,0.0000
P1763,18,Centro,Web,7,168.6239,24.7267,0,0,1,6.7702,0,0.0000
P1764,18,Centro,Empresa,3,65.7650,38.5122,0,0,0,3.0464,0,0.0000
P1765,18,Norte,Empresa,7,95.3219,26.4748,0,0,0,7.1989,1,109242.8166
P1766,18,Centro,Web,6,71.3517,23.5882,0,0,2,6.1325,0,0.0000
P1767,18,Sur,Empresa,7,93.4256,35.0172,1,0,1,7.4007,0,0.0000
P1768,18,Norte,Sucursal,5,17.8914,35.9058,1,0,1,4.5764,0,0.0000
P1769,18,Norte,Empresa,6,59.8600,29.9045,0,1,3,5.3552,1,112190.9258
P1770,18,Centro,Empresa,7,177.1980,31.9941,1,0,2,7.8676,0,0.0000
P1771,18,Centro,Empresa,4,172.6886,34.3288,0,0,1,3.6514,0,0.0000
P1772,18,Centro,Empresa,8,24.5072,19.3773,0,0,0,7.4804,0,0.0000
P1773,18,Centro,Web,8,57.9850,35.7388,0,0,1,8.2779,0,0.0000
P1774,18,Sur,Empresa,5,37.7087,5.9208,0,0,0,4.3896,0,0.0000
P1775,18,Centro,Sucursal,5,121.7237,30.8486,0,0,2,4.4601,0,0.0000
P1776,18,Norte,Web,2,18.4464,15.0957,0,0,7,2.6595,0,0.0000
P1777,18,Sur,Sucursal,5,100.7402,39.5783,0,0,0,5.0736,0,0.0000
P1778,18,Norte,Web,7,64.3887,36.5482,0,0,1,6.0562,0,0.0000
P1779,18,Norte,Web,7,122.9581,7.4418,0,0,0,7.0734,0,0.0000
P1780,18,Sur,Empresa,5,68.9858,8.4672,0,0,1,4.2734,0,0.0000
P1781,18,Norte,Web,9,50.0738,10.1710,1,0,0,9.2406,1,127242.0796
P1782,18,Norte,Sucursal,10,178.0765,9.4575,0,0,0,9.5352,0,0.0000
P1783,18,Norte,Sucursal,5,114.5009,26.7527,0,0,1,4.5895,0,0.0000
P1784,18,Norte,Web,7,115.4348,37.7025,0,0,1,7.4604,0,0.0000
P1785,18,Centro,Web,6,82.7581,16.9332,0,0,2,5.9937,0,0.0000
P1786,18,Sur,Sucursal,7,30.6547,11.0292,0,0,1,7.1716,1,126771.0457
P1787,18,Sur,Sucursal,4,143.9409,36.2002,0,0,2,3.7306,0,0.0000
P1788,18,Centro,Empresa,4,166.1487,33.9755,1,1,0,3.8233,1,112819.6425
P1789,18,Centro,Empresa,6,41.4428,12.7889,0,0,3,6.1037,0,0.0000
P1790,18,Centro,Empresa,5,9.4731,9.3250,0,0,3,4.4370,0,0.0000
P1791,18,Centro,Empresa,8,57.2440,32.1786,0,1,1,8.6736,0,0.0000
P1792,18,Sur,Web,3,80.5934,5.0758,0,0,0,3.1016,0,0.0000
P1793,18,Norte,Web,2,107.4545,9.6622,1,0,1,1.8727,1,95829.9239
P1794,18,Norte,Sucursal,7,164.4460,25.2026,0,1,0,6.1610,0,0.0000
P1795,18,Centro,Empresa,6,169.6812,10.0668,0,0,1,5.3399,0,0.0000
P1796,18,Centro,Sucursal,7,NA,34.7759,1,0,2,6.8142,0,0.0000
P1797,18,Sur,Empresa,2,105.8733,39.9179,0,0,4,2.7005,0,0.0000
P1798,18,Centro,Sucursal,2,132.4028,7.6615,0,0,2,2.5879,0,0.0000
P1799,18,Norte,Web,7,142.7194,26.3237,0,0,5,7.2985,0,0.0000
P1800,18,Centro,Sucursal,5,115.5731,26.4816,0,1,1,4.9188,0,0.0000
