reclamo_id,senales_entrega,senales_factura,senales_producto,contactos_previos,canal,clase,rol_particion
C0039,1,3,1,1,Web,Facturacion,entrenamiento
C0040,2,2,2,2,Telefono,Producto,entrenamiento
C0041,1,2,1,2,Web,Producto,entrenamiento
C0042,0,0,2,2,Telefono,Producto,entrenamiento
C0043,1,1,0,0,Web,Facturacion,entrenamiento
C0044,3,0,3,3,Telefono,Facturacion,entrenamiento
C0045,0,6,3,3,Telefono,Facturacion,entrenamiento
C0046,0,3,0,3,Telefono,Facturacion,entrenamiento
C0047,0,1,3,0,Telefono,Entrega,entrenamiento
C0048,2,1,1,4,Telefono,Producto,entrenamiento
C0049,2,1,0,2,Telefono,Entrega,entrenamiento
C0050,0,3,1,1,Telefono,Producto,entrenamiento
C0051,2,2,5,1,Telefono,Facturacion,entrenamiento
C0052,1,4,2,1,Telefono,Facturacion,entrenamiento
C0053,1,2,0,0,Web,Entrega,entrenamiento
C0054,1,1,1,1,Telefono,Entrega,entrenamiento
C0055,1,1,1,1,Web,Producto,entrenamiento
C0056,3,1,1,1,Web,Entrega,entrenamiento
C0057,1,3,0,3,Web,Facturacion,entrenamiento
C0058,3,1,0,3,Telefono,Entrega,entrenamiento
C0059,4,1,0,2,Web,Entrega,entrenamiento
C0060,1,1,2,2,Web,Producto,entrenamiento
C0061,1,2,0,0,Telefono,Facturacion,entrenamiento
C0062,1,5,1,0,Web,Entrega,entrenamiento
C0063,0,1,0,0,Web,Producto,entrenamiento
C0064,1,5,0,1,Telefono,Facturacion,entrenamiento
C0065,0,3,1,2,Telefono,Facturacion,entrenamiento
C0066,1,3,2,1,Telefono,Producto,entrenamiento
C0067,0,1,2,2,Telefono,Producto,entrenamiento
C0068,0,2,1,3,Web,Facturacion,entrenamiento
C0069,1,3,1,3,Telefono,Producto,entrenamiento
C0070,0,0,1,2,Web,Producto,entrenamiento
C0071,2,2,2,0,Web,Producto,entrenamiento
C0072,1,4,2,1,Web,Facturacion,entrenamiento
C0073,1,1,2,2,Web,Entrega,entrenamiento
C0074,3,0,1,3,Web,Entrega,entrenamiento
C0075,1,3,4,2,Web,Producto,entrenamiento
C0076,2,1,2,6,Telefono,Entrega,entrenamiento
C0077,0,1,0,1,Telefono,Entrega,entrenamiento
C0078,1,1,1,3,Web,Entrega,entrenamiento
C0079,0,3,0,2,Web,Facturacion,entrenamiento
C0080,1,2,1,1,Web,Facturacion,entrenamiento
C0081,1,2,4,2,Telefono,Producto,entrenamiento
C0082,2,2,0,3,Telefono,Facturacion,entrenamiento
C0083,0,2,0,0,Web,Entrega,entrenamiento
C0084,2,1,0,1,Web,Entrega,entrenamiento
C0085,1,1,2,1,Telefono,Producto,entrenamiento
C0086,1,1,3,0,Telefono,Entrega,entrenamiento
C0087,1,2,1,1,Web,Entrega,entrenamiento
C0088,2,1,1,2,Web,Producto,entrenamiento
C0089,0,4,4,3,Telefono,Producto,entrenamiento
C0090,0,0,2,2,Telefono,Producto,entrenamiento
C0091,1,0,0,1,Telefono,Entrega,entrenamiento
C0092,1,0,4,4,Web,Facturacion,entrenamiento
C0093,0,1,0,4,Telefono,Entrega,entrenamiento
C0094,0,1,1,3,Telefono,Producto,entrenamiento
C0095,1,2,0,2,Telefono,Facturacion,entrenamiento
C0096,1,1,0,0,Web,Entrega,entrenamiento
C0097,1,0,2,3,Web,Entrega,entrenamiento
C0098,3,0,3,1,Telefono,Entrega,entrenamiento
C0099,2,1,3,1,Telefono,Entrega,entrenamiento
C0100,1,1,2,2,Web,Entrega,entrenamiento
C0101,1,0,1,6,Telefono,Entrega,entrenamiento
C0102,0,2,0,4,Telefono,Facturacion,entrenamiento
C0103,0,1,1,1,Web,Producto,entrenamiento
C0104,1,0,2,0,Telefono,Entrega,entrenamiento
C0105,1,1,1,2,Web,Entrega,entrenamiento
C0106,1,0,2,3,Telefono,Entrega,entrenamiento
C0107,2,1,0,1,Web,Entrega,entrenamiento
C0108,1,0,0,0,Web,Entrega,entrenamiento
C0109,1,2,1,2,Web,Producto,entrenamiento
C0110,2,5,0,4,Telefono,Producto,entrenamiento
C0111,1,2,1,0,Telefono,Facturacion,entrenamiento
C0112,0,2,2,1,Web,Facturacion,entrenamiento
C0113,2,2,0,1,Web,Facturacion,entrenamiento
C0114,3,0,0,1,Web,Entrega,entrenamiento
C0115,1,1,2,1,Telefono,Producto,entrenamiento
C0116,2,1,0,4,Telefono,Entrega,entrenamiento
C0117,2,3,0,5,Web,Facturacion,entrenamiento
C0118,1,1,1,4,Web,Producto,entrenamiento
C0119,1,3,0,2,Telefono,Facturacion,entrenamiento
C0120,2,1,0,2,Web,Producto,entrenamiento
C0121,1,0,0,3,Telefono,Entrega,entrenamiento
C0122,2,2,2,2,Web,Facturacion,entrenamiento
C0123,3,0,1,3,Web,Entrega,entrenamiento
C0124,2,3,2,3,Telefono,Entrega,entrenamiento
C0125,0,2,2,0,Web,Producto,entrenamiento
C0126,4,2,1,4,Web,Facturacion,entrenamiento
C0127,2,1,2,3,Telefono,Entrega,entrenamiento
C0128,1,1,0,4,Telefono,Entrega,entrenamiento
C0129,0,2,1,1,Telefono,Producto,entrenamiento
C0130,2,3,1,4,Web,Entrega,entrenamiento
C0131,1,1,0,2,Telefono,Entrega,entrenamiento
C0132,1,4,2,2,Web,Facturacion,entrenamiento
C0133,2,2,1,2,Telefono,Entrega,entrenamiento
C0134,2,2,2,4,Telefono,Facturacion,entrenamiento
C0135,1,0,1,0,Telefono,Entrega,entrenamiento
C0136,1,1,0,3,Web,Facturacion,entrenamiento
C0137,3,4,1,0,Telefono,Facturacion,entrenamiento
C0138,1,0,2,3,Telefono,Entrega,entrenamiento
C0139,0,1,0,2,Web,Entrega,entrenamiento
C0140,0,3,1,2,Web,Producto,entrenamiento
C0141,0,2,2,0,Web,Producto,entrenamiento
C0142,2,1,1,1,Telefono,Entrega,entrenamiento
C0143,2,0,1,1,Web,Entrega,entrenamiento
C0144,0,1,0,2,Telefono,Facturacion,entrenamiento
C0145,4,1,3,2,Telefono,Entrega,entrenamiento
C0146,0,0,3,1,Web,Producto,entrenamiento
C0147,1,2,1,3,Web,Producto,entrenamiento
C0148,5,1,2,2,Web,Entrega,entrenamiento
C0149,2,1,0,4,Web,Facturacion,entrenamiento
C0150,2,1,2,5,Telefono,Entrega,entrenamiento
C0151,1,1,1,2,Web,Entrega,entrenamiento
C0152,1,2,1,3,Telefono,Producto,entrenamiento
C0153,1,1,1,2,Web,Producto,entrenamiento
C0154,1,2,3,0,Web,Producto,entrenamiento
C0155,2,4,3,1,Web,Entrega,entrenamiento
C0156,4,4,0,3,Telefono,Entrega,entrenamiento
C0157,4,1,5,1,Web,Entrega,entrenamiento
C0158,0,3,1,3,Telefono,Producto,entrenamiento
C0159,0,5,1,0,Web,Facturacion,entrenamiento
C0160,2,0,0,0,Telefono,Entrega,entrenamiento
C0161,1,1,0,4,Web,Facturacion,entrenamiento
C0162,2,1,2,3,Web,Producto,entrenamiento
C0163,2,0,0,2,Web,Entrega,entrenamiento
C0164,0,3,2,0,Web,Facturacion,entrenamiento
C0165,0,2,1,2,Telefono,Entrega,entrenamiento
C0166,2,1,1,1,Web,Producto,entrenamiento
C0167,1,0,0,2,Web,Entrega,entrenamiento
C0168,1,2,3,3,Web,Facturacion,entrenamiento
C0169,1,1,1,2,Web,Producto,entrenamiento
C0170,1,1,0,3,Telefono,Facturacion,entrenamiento
C0171,4,0,0,1,Telefono,Entrega,entrenamiento
C0172,0,0,0,1,Web,Producto,entrenamiento
C0173,2,2,2,2,Telefono,Entrega,entrenamiento
C0174,3,2,2,0,Web,Entrega,entrenamiento
C0175,2,1,1,0,Telefono,Facturacion,entrenamiento
C0176,0,1,2,0,Web,Producto,entrenamiento
C0177,0,0,2,3,Telefono,Producto,entrenamiento
C0178,1,2,4,2,Web,Producto,entrenamiento
C0179,2,3,1,2,Telefono,Facturacion,entrenamiento
C0180,0,2,2,4,Telefono,Facturacion,entrenamiento
C0181,0,1,1,2,Web,Producto,entrenamiento
C0182,2,1,2,1,Web,Entrega,entrenamiento
C0183,2,1,1,3,Web,Entrega,entrenamiento
C0184,1,1,0,0,Web,Producto,entrenamiento
C0185,2,2,1,1,Web,Facturacion,entrenamiento
C0186,1,1,3,0,Telefono,Entrega,entrenamiento
C0187,4,2,3,6,Telefono,Facturacion,entrenamiento
C0188,0,1,0,2,Telefono,Producto,entrenamiento
C0189,0,4,1,3,Telefono,Facturacion,entrenamiento
C0190,0,2,0,3,Telefono,Facturacion,entrenamiento
C0191,2,1,0,2,Telefono,Facturacion,entrenamiento
C0192,1,2,0,3,Web,Entrega,entrenamiento
C0193,0,2,3,3,Telefono,Producto,entrenamiento
C0194,3,2,1,2,Web,Producto,entrenamiento
C0195,0,1,2,3,Telefono,Entrega,entrenamiento
C0196,0,0,0,2,Telefono,Entrega,entrenamiento
C0197,2,0,1,0,Telefono,Entrega,entrenamiento
C0198,2,3,2,4,Telefono,Producto,entrenamiento
C0199,2,1,1,2,Web,Producto,entrenamiento
C0200,1,2,1,2,Telefono,Producto,entrenamiento
C0201,4,0,2,3,Web,Entrega,entrenamiento
C0202,2,2,4,3,Web,Facturacion,entrenamiento
C0203,0,1,0,0,Web,Entrega,entrenamiento
C0204,1,5,3,3,Web,Producto,entrenamiento
C0205,0,1,3,3,Web,Facturacion,entrenamiento
C0206,1,2,1,3,Telefono,Producto,entrenamiento
C0207,1,1,1,1,Telefono,Facturacion,entrenamiento
C0208,0,0,3,5,Web,Producto,entrenamiento
C0209,1,2,0,2,Web,Facturacion,entrenamiento
C0210,0,3,2,1,Web,Producto,entrenamiento
C0211,0,0,1,1,Telefono,Facturacion,entrenamiento
C0212,0,2,1,2,Telefono,Facturacion,entrenamiento
C0213,0,3,1,4,Web,Facturacion,entrenamiento
C0214,5,1,3,5,Web,Entrega,entrenamiento
C0215,1,2,1,0,Telefono,Entrega,entrenamiento
C0216,1,3,3,0,Web,Producto,entrenamiento
C0217,2,1,0,2,Telefono,Facturacion,entrenamiento
C0218,3,1,1,2,Web,Entrega,entrenamiento
C0219,4,0,3,0,Web,Entrega,entrenamiento
C0220,2,5,0,3,Web,Facturacion,entrenamiento
C0221,0,1,2,2,Telefono,Facturacion,entrenamiento
C0222,0,0,2,3,Telefono,Producto,entrenamiento
C0223,1,1,3,1,Telefono,Entrega,entrenamiento
C0224,1,0,1,2,Telefono,Facturacion,entrenamiento
C0225,0,1,0,5,Web,Facturacion,entrenamiento
C0226,4,2,3,4,Web,Entrega,entrenamiento
C0227,1,2,0,1,Telefono,Facturacion,entrenamiento
C0228,2,0,2,3,Web,Producto,entrenamiento
C0229,2,0,2,3,Telefono,Facturacion,entrenamiento
C0230,0,1,2,1,Telefono,Entrega,entrenamiento
C0231,4,4,1,2,Web,Entrega,entrenamiento
C0232,3,2,0,4,Telefono,Entrega,entrenamiento
C0233,1,5,2,2,Web,Producto,entrenamiento
C0234,3,0,0,1,Telefono,Entrega,entrenamiento
C0235,2,2,1,2,Web,Facturacion,entrenamiento
C0236,1,0,2,2,Telefono,Entrega,entrenamiento
C0237,0,0,1,2,Telefono,Entrega,entrenamiento
C0238,1,0,3,2,Web,Producto,entrenamiento
C0239,0,1,1,2,Web,Producto,entrenamiento
C0240,1,0,5,1,Web,Producto,entrenamiento
C0241,2,2,3,0,Web,Producto,entrenamiento
C0242,2,2,0,2,Web,Producto,entrenamiento
C0243,3,2,2,3,Telefono,Entrega,entrenamiento
C0244,1,1,0,1,Web,Facturacion,entrenamiento
C0245,1,0,3,0,Web,Producto,entrenamiento
C0246,0,0,1,3,Web,Facturacion,entrenamiento
C0247,2,1,1,1,Telefono,Entrega,entrenamiento
C0248,2,0,2,3,Telefono,Facturacion,entrenamiento
C0249,1,2,2,1,Web,Facturacion,entrenamiento
C0250,2,1,2,3,Telefono,Facturacion,entrenamiento
C0251,1,3,2,2,Web,Facturacion,entrenamiento
C0252,0,1,0,2,Telefono,Entrega,entrenamiento
C0253,3,0,2,2,Telefono,Entrega,entrenamiento
C0254,2,4,1,3,Telefono,Facturacion,entrenamiento
C0255,0,0,0,2,Telefono,Facturacion,entrenamiento
C0256,1,0,1,1,Telefono,Entrega,entrenamiento
C0257,0,3,4,3,Web,Producto,entrenamiento
C0258,0,1,2,4,Web,Producto,entrenamiento
C0259,4,0,1,3,Web,Entrega,entrenamiento
C0260,0,5,1,3,Telefono,Facturacion,entrenamiento
C0261,1,1,0,2,Web,Facturacion,entrenamiento
C0262,2,4,2,0,Web,Entrega,entrenamiento
C0263,0,3,0,3,Telefono,Facturacion,entrenamiento
C0264,0,5,0,0,Web,Facturacion,entrenamiento
C0265,2,0,1,5,Telefono,Entrega,entrenamiento
C0266,0,4,3,2,Telefono,Facturacion,entrenamiento
C0267,2,2,2,1,Telefono,Producto,entrenamiento
C0268,2,1,2,4,Telefono,Entrega,entrenamiento
C0269,1,3,0,3,Telefono,Entrega,entrenamiento
C0270,3,1,2,2,Telefono,Entrega,entrenamiento
C0271,1,2,0,4,Web,Facturacion,entrenamiento
C0272,3,1,1,1,Web,Entrega,entrenamiento
C0273,0,2,5,2,Telefono,Producto,entrenamiento
C0274,4,1,4,1,Telefono,Entrega,entrenamiento
C0275,1,2,1,1,Web,Facturacion,entrenamiento
C0276,3,2,3,2,Web,Facturacion,entrenamiento
C0277,1,0,7,1,Telefono,Producto,entrenamiento
C0278,4,2,2,2,Web,Facturacion,entrenamiento
C0279,2,3,1,2,Telefono,Entrega,entrenamiento
C0280,0,3,1,1,Web,Entrega,entrenamiento
C0281,0,1,0,5,Telefono,Entrega,entrenamiento
C0282,2,0,1,4,Telefono,Entrega,entrenamiento
C0283,1,1,1,1,Web,Facturacion,entrenamiento
C0284,4,3,3,1,Web,Entrega,entrenamiento
C0285,0,3,2,5,Web,Facturacion,entrenamiento
C0286,6,0,2,1,Web,Entrega,entrenamiento
C0287,0,1,3,5,Web,Producto,entrenamiento
C0288,4,5,0,2,Telefono,Facturacion,entrenamiento
C0289,3,5,0,0,Telefono,Facturacion,entrenamiento
C0290,0,0,0,0,Web,Facturacion,entrenamiento
C0291,0,1,1,5,Web,Facturacion,entrenamiento
C0292,2,3,1,1,Telefono,Facturacion,entrenamiento
C0293,0,2,1,2,Telefono,Entrega,entrenamiento
C0294,0,1,2,0,Web,Producto,entrenamiento
C0295,2,0,1,3,Web,Entrega,entrenamiento
C0296,4,0,1,1,Telefono,Producto,entrenamiento
C0297,2,0,1,5,Web,Producto,entrenamiento
C0298,4,2,0,3,Web,Entrega,entrenamiento
C0299,1,2,2,4,Web,Facturacion,entrenamiento
C0300,3,1,2,3,Web,Facturacion,entrenamiento
C0301,2,0,3,0,Web,Entrega,entrenamiento
C0302,0,0,0,3,Web,Facturacion,entrenamiento
C0303,1,1,0,3,Telefono,Entrega,entrenamiento
C0304,1,1,2,2,Web,Facturacion,entrenamiento
C0305,1,1,1,2,Web,Producto,entrenamiento
C0306,0,5,2,2,Web,Facturacion,entrenamiento
C0307,4,5,2,3,Telefono,Entrega,entrenamiento
C0308,0,0,1,0,Telefono,Producto,entrenamiento
C0309,0,0,3,0,Web,Producto,entrenamiento
C0310,1,3,0,4,Web,Facturacion,entrenamiento
C0311,1,3,0,3,Web,Facturacion,entrenamiento
C0312,2,0,3,6,Web,Producto,entrenamiento
C0313,0,3,1,2,Web,Facturacion,entrenamiento
C0314,0,0,1,0,Web,Producto,entrenamiento
C0315,0,2,1,1,Telefono,Producto,entrenamiento
C0316,4,1,1,1,Web,Entrega,entrenamiento
C0317,2,1,4,3,Telefono,Entrega,entrenamiento
C0318,2,3,1,5,Telefono,Facturacion,entrenamiento
C0319,0,2,0,1,Web,Facturacion,entrenamiento
C0320,1,2,1,4,Web,Producto,entrenamiento
C0321,0,1,0,0,Web,Facturacion,entrenamiento
C0322,1,1,3,0,Web,Entrega,entrenamiento
C0323,3,0,1,4,Telefono,Entrega,entrenamiento
C0324,6,2,3,0,Web,Entrega,entrenamiento
C0325,2,0,1,3,Web,Producto,entrenamiento
C0326,1,3,2,1,Telefono,Producto,entrenamiento
C0327,1,4,1,3,Web,Facturacion,entrenamiento
C0328,2,1,0,5,Telefono,Facturacion,entrenamiento
C0329,0,1,2,1,Web,Producto,entrenamiento
C0330,3,0,1,2,Telefono,Entrega,entrenamiento
C0331,1,2,2,4,Telefono,Producto,entrenamiento
C0332,2,1,1,1,Telefono,Entrega,entrenamiento
C0333,2,4,2,5,Telefono,Entrega,entrenamiento
C0334,1,1,1,2,Web,Producto,entrenamiento
C0335,1,3,3,3,Web,Facturacion,entrenamiento
C0336,2,0,3,4,Telefono,Entrega,entrenamiento
C0337,0,2,2,0,Telefono,Facturacion,entrenamiento
C0338,2,1,1,1,Web,Entrega,entrenamiento
C0339,3,0,2,4,Telefono,Entrega,entrenamiento
C0340,1,0,1,2,Telefono,Producto,entrenamiento
C0341,0,1,3,4,Telefono,Producto,entrenamiento
C0342,2,1,1,4,Web,Entrega,entrenamiento
C0343,1,0,1,3,Telefono,Producto,entrenamiento
C0344,1,3,1,1,Telefono,Entrega,entrenamiento
C0345,1,2,2,1,Telefono,Producto,entrenamiento
C0346,0,0,1,2,Telefono,Producto,entrenamiento
C0347,1,2,2,1,Telefono,Facturacion,entrenamiento
C0348,2,1,2,1,Telefono,Entrega,entrenamiento
C0349,1,0,3,1,Telefono,Entrega,entrenamiento
C0350,2,0,1,2,Web,Producto,entrenamiento
C0351,0,0,4,4,Telefono,Entrega,entrenamiento
C0352,0,2,0,3,Web,Facturacion,entrenamiento
C0353,4,2,2,3,Web,Entrega,entrenamiento
C0354,0,3,2,1,Web,Producto,entrenamiento
C0355,1,1,2,1,Web,Facturacion,entrenamiento
C0356,3,1,0,1,Web,Entrega,entrenamiento
C0357,1,2,1,1,Telefono,Facturacion,entrenamiento
C0358,3,2,2,3,Telefono,Entrega,entrenamiento
C0359,1,2,0,0,Telefono,Producto,entrenamiento
C0360,0,0,1,5,Telefono,Entrega,entrenamiento
C0361,1,1,1,1,Telefono,Entrega,entrenamiento
C0362,0,6,0,1,Web,Facturacion,entrenamiento
C0363,1,0,3,1,Telefono,Producto,entrenamiento
C0364,1,0,1,1,Telefono,Producto,entrenamiento
C0365,0,5,2,3,Telefono,Facturacion,entrenamiento
C0366,4,1,0,2,Telefono,Entrega,entrenamiento
C0367,2,3,1,5,Telefono,Facturacion,entrenamiento
C0368,1,4,0,3,Telefono,Facturacion,entrenamiento
C0369,3,2,1,7,Telefono,Entrega,entrenamiento
C0370,1,0,2,2,Telefono,Facturacion,entrenamiento
C0371,0,1,0,1,Web,Entrega,entrenamiento
C0372,3,2,2,4,Telefono,Facturacion,entrenamiento
C0373,0,3,2,3,Telefono,Facturacion,entrenamiento
C0374,2,0,1,2,Web,Entrega,entrenamiento
C0375,0,0,0,1,Web,Producto,entrenamiento
C0376,2,0,1,3,Telefono,Entrega,entrenamiento
C0377,2,1,0,3,Telefono,Entrega,entrenamiento
C0378,2,1,0,3,Telefono,Facturacion,entrenamiento
C0379,0,1,3,6,Web,Entrega,entrenamiento
C0380,2,1,2,3,Web,Producto,entrenamiento
C0381,2,1,1,2,Web,Entrega,entrenamiento
C0382,2,2,2,3,Telefono,Entrega,entrenamiento
C0383,0,1,0,2,Telefono,Facturacion,entrenamiento
C0384,0,2,0,5,Web,Producto,entrenamiento
C0385,2,4,1,2,Telefono,Facturacion,entrenamiento
C0386,4,1,2,1,Telefono,Facturacion,entrenamiento
C0387,2,1,1,0,Telefono,Facturacion,entrenamiento
C0388,1,2,1,1,Web,Facturacion,entrenamiento
C0389,0,2,2,4,Telefono,Facturacion,entrenamiento
C0390,0,3,2,1,Telefono,Facturacion,entrenamiento
C0391,2,1,2,0,Web,Producto,entrenamiento
C0392,4,0,0,1,Telefono,Entrega,entrenamiento
C0393,1,0,0,4,Web,Facturacion,entrenamiento
C0394,3,2,2,2,Telefono,Entrega,entrenamiento
C0395,2,1,2,1,Telefono,Producto,entrenamiento
C0396,1,0,1,3,Web,Entrega,entrenamiento
C0397,2,2,0,2,Telefono,Facturacion,entrenamiento
C0398,1,0,1,2,Web,Facturacion,entrenamiento
C0399,1,1,1,4,Telefono,Facturacion,entrenamiento
C0400,0,3,0,1,Web,Entrega,entrenamiento
C0401,4,1,0,4,Web,Entrega,entrenamiento
C0402,2,1,1,1,Telefono,Entrega,entrenamiento
C0403,0,0,2,1,Web,Producto,entrenamiento
C0404,2,3,4,4,Web,Producto,entrenamiento
C0405,2,1,1,1,Telefono,Entrega,entrenamiento
C0406,0,2,0,1,Web,Facturacion,entrenamiento
C0407,0,5,1,1,Telefono,Entrega,entrenamiento
C0408,0,1,2,0,Telefono,Facturacion,entrenamiento
C0409,0,3,3,1,Web,Producto,entrenamiento
C0410,1,1,1,3,Web,Producto,entrenamiento
C0411,0,2,1,5,Web,Facturacion,entrenamiento
C0412,1,2,1,1,Telefono,Entrega,entrenamiento
C0413,3,3,0,1,Telefono,Entrega,entrenamiento
C0414,0,1,1,1,Telefono,Producto,entrenamiento
C0415,2,3,1,0,Telefono,Facturacion,entrenamiento
C0416,1,2,0,0,Web,Entrega,entrenamiento
C0417,1,0,1,4,Telefono,Entrega,entrenamiento
C0418,0,0,4,0,Web,Producto,entrenamiento
C0419,1,0,2,2,Web,Producto,entrenamiento
C0420,0,2,2,2,Telefono,Producto,entrenamiento
C0421,0,3,2,3,Telefono,Facturacion,entrenamiento
C0422,0,2,2,2,Web,Producto,entrenamiento
C0423,2,2,1,1,Telefono,Facturacion,entrenamiento
C0424,0,2,1,0,Telefono,Facturacion,entrenamiento
C0425,3,1,4,3,Telefono,Producto,entrenamiento
C0426,0,3,1,1,Web,Facturacion,entrenamiento
C0427,1,3,0,2,Web,Entrega,entrenamiento
C0428,0,0,1,4,Telefono,Facturacion,entrenamiento
C0429,1,0,3,2,Web,Producto,entrenamiento
C0430,1,3,1,0,Web,Entrega,entrenamiento
C0431,1,1,5,1,Web,Producto,entrenamiento
C0432,2,0,0,0,Telefono,Entrega,entrenamiento
C0433,0,0,3,3,Web,Producto,entrenamiento
C0434,2,5,2,1,Web,Entrega,entrenamiento
C0435,2,0,1,4,Telefono,Producto,entrenamiento
C0436,0,0,3,3,Telefono,Producto,entrenamiento
C0437,1,1,1,3,Telefono,Facturacion,entrenamiento
C0438,0,2,1,1,Web,Entrega,entrenamiento
C0439,0,1,3,2,Web,Facturacion,entrenamiento
C0440,1,0,2,5,Telefono,Facturacion,entrenamiento
C0441,0,2,1,4,Telefono,Facturacion,entrenamiento
C0442,0,1,2,3,Telefono,Facturacion,entrenamiento
C0443,3,2,0,4,Telefono,Entrega,entrenamiento
C0444,1,1,1,4,Web,Entrega,entrenamiento
C0445,2,3,2,2,Telefono,Facturacion,entrenamiento
C0446,1,1,0,0,Telefono,Entrega,entrenamiento
C0447,3,1,0,6,Web,Entrega,entrenamiento
C0448,0,1,2,3,Web,Producto,entrenamiento
C0449,2,1,3,4,Telefono,Entrega,entrenamiento
C0450,0,0,2,0,Web,Entrega,entrenamiento
C0451,0,0,4,0,Web,Entrega,entrenamiento
C0452,1,3,2,0,Web,Facturacion,entrenamiento
C0453,1,0,1,0,Telefono,Entrega,entrenamiento
C0454,4,1,1,2,Web,Producto,entrenamiento
C0455,0,3,1,2,Web,Facturacion,entrenamiento
C0456,2,2,3,2,Web,Producto,entrenamiento
C0457,1,1,3,0,Web,Facturacion,entrenamiento
C0458,1,2,1,3,Telefono,Entrega,entrenamiento
C0459,1,1,1,2,Web,Entrega,entrenamiento
C0460,1,1,0,2,Telefono,Facturacion,entrenamiento
C0461,2,4,2,1,Telefono,Facturacion,entrenamiento
C0462,2,1,3,4,Web,Producto,entrenamiento
C0463,3,3,1,2,Web,Entrega,entrenamiento
C0464,2,1,2,4,Telefono,Entrega,entrenamiento
C0465,2,2,1,1,Web,Entrega,entrenamiento
C0466,2,1,4,1,Web,Entrega,entrenamiento
C0467,0,3,4,2,Web,Facturacion,entrenamiento
C0468,4,3,3,2,Web,Producto,entrenamiento
C0469,0,0,0,2,Telefono,Facturacion,entrenamiento
C0470,3,3,1,2,Web,Entrega,entrenamiento
C0471,2,0,1,3,Web,Entrega,entrenamiento
C0472,2,1,0,3,Telefono,Entrega,entrenamiento
C0473,1,0,1,1,Web,Facturacion,entrenamiento
C0474,2,0,2,2,Telefono,Entrega,entrenamiento
C0475,0,3,1,4,Telefono,Facturacion,entrenamiento
C0476,0,1,1,2,Telefono,Facturacion,entrenamiento
C0477,0,0,1,6,Web,Producto,entrenamiento
C0478,1,2,3,2,Telefono,Facturacion,entrenamiento
C0479,5,3,0,1,Web,Entrega,entrenamiento
C0480,0,2,1,3,Telefono,Entrega,entrenamiento
C0481,1,1,0,0,Telefono,Facturacion,entrenamiento
C0482,1,0,0,2,Web,Entrega,entrenamiento
C0483,0,1,2,1,Telefono,Entrega,entrenamiento
C0484,2,1,0,2,Web,Entrega,entrenamiento
C0485,4,1,1,2,Web,Entrega,entrenamiento
C0486,0,0,0,1,Web,Entrega,entrenamiento
C0487,4,0,1,2,Web,Entrega,entrenamiento
C0488,2,1,0,0,Web,Entrega,entrenamiento
C0489,1,2,2,1,Web,Producto,entrenamiento
C0490,1,0,1,3,Telefono,Facturacion,entrenamiento
C0491,0,1,3,2,Web,Facturacion,entrenamiento
C0492,3,2,3,0,Web,Entrega,entrenamiento
C0493,1,1,1,1,Web,Facturacion,entrenamiento
C0494,2,1,2,4,Web,Producto,entrenamiento
C0495,0,1,0,2,Web,Facturacion,entrenamiento
C0496,1,1,0,3,Web,Facturacion,entrenamiento
